,obj_that,obj_wh,pp_wh,subj_wh,pairID
238,Some library figures out that a lot of boys remembered that mall for Tiffany.,Some library figures out what a lot of boys remembered for Tiffany.,Some library figures out what a lot of boys remembered that mall for.,Some library figures out what remembered that mall.,238
239,Jodi would remember that every student hugged Kimberley for this boy.,Jodi would remember who every student hugged for this boy.,Jodi would remember who every student hugged Kimberley for.,Jodi would remember who hugged Kimberley.,239
240,Laura investigates that the senator climbed down these mountains for Eva.,Laura investigates what the senator climbed down for Eva.,Laura investigates what the senator climbed down these mountains for.,Laura investigates what climbed down these mountains.,240
241,Amy wouldn't find out that these glasses had annoyed most senators with Gerald.,Amy wouldn't find out who these glasses had annoyed with Gerald.,Amy wouldn't find out who these glasses had annoyed most senators with.,Amy wouldn't find out who had annoyed most senators.,241
242,Adults discover that some turtles couldn't harm every dancer for Holly.,Adults discover who some turtles couldn't harm for Holly.,Adults discover who some turtles couldn't harm every dancer for.,Adults discover who couldn't harm every dancer.,242
243,The banks find out that some lawyer fixed this fork for Nina.,The banks find out what some lawyer fixed for Nina.,The banks find out what some lawyer fixed this fork for.,The banks find out what fixed this fork.,243
244,Electricians reveal that those screens disturb Patricia for Larry.,Electricians reveal who those screens disturb for Larry.,Electricians reveal who those screens disturb Patricia for.,Electricians reveal who disturb Patricia.,244
245,The tutors figured out that the senator drops by every hill for many podiatrists.,The tutors figured out what the senator drops by for many podiatrists.,The tutors figured out what the senator drops by every hill for.,The tutors figured out what drops by every hill.,245
246,A lot of drivers might conceal that many children disagreed with some handymen with Lisa.,A lot of drivers might conceal who many children disagreed with with Lisa.,A lot of drivers might conceal who many children disagreed with some handymen with.,A lot of drivers might conceal who disagreed with some handymen.,246
247,These doctors remember that the podiatrist had dropped by every glacier for Jessica.,These doctors remember what the podiatrist had dropped by for Jessica.,These doctors remember what the podiatrist had dropped by every glacier for.,These doctors remember what had dropped by every glacier.,247
248,A lot of governments conceal that drivers observe Keith with Ronald.,A lot of governments conceal who drivers observe with Ronald.,A lot of governments conceal who drivers observe Keith with.,A lot of governments conceal who observe Keith.,248
249,Richard will reveal that this driver understands handymen with Amelia.,Richard will reveal who this driver understands with Amelia.,Richard will reveal who this driver understands handymen with.,Richard will reveal who understands handymen.,249
250,The Impressionists were discovering that all women light most candles for the guest.,The Impressionists were discovering what all women light for the guest.,The Impressionists were discovering what all women light most candles for.,The Impressionists were discovering what light most candles.,250
251,The students learn that this jacket was impressing Amy for Sabrina.,The students learn who this jacket was impressing for Sabrina.,The students learn who this jacket was impressing Amy for.,The students learn who was impressing Amy.,251
252,Sandra hasn't known that all teachers remembered Russell for Leslie.,Sandra hasn't known who all teachers remembered for Leslie.,Sandra hasn't known who all teachers remembered Russell for.,Sandra hasn't known who remembered Russell.,252
253,Allison had realized that the adult messed up the glass for every associate.,Allison had realized what the adult messed up for every associate.,Allison had realized what the adult messed up the glass for.,Allison had realized what messed up the glass.,253
254,Lawyers discover that this actress forgives actors with Emily.,Lawyers discover who this actress forgives with Emily.,Lawyers discover who this actress forgives actors with.,Lawyers discover who forgives actors.,254
255,Some tutors were investigating that waitresses scanned the book with Diana.,Some tutors were investigating what waitresses scanned with Diana.,Some tutors were investigating what waitresses scanned the book with.,Some tutors were investigating what scanned the book.,255
256,Many French teachers reveal that all associates hadn't fought Wayne with Denise.,Many French teachers reveal who all associates hadn't fought with Denise.,Many French teachers reveal who all associates hadn't fought Wayne with.,Many French teachers reveal who hadn't fought Wayne.,256
257,Most drivers reveal that a lot of actresses were cleaning the dish with Lisa.,Most drivers reveal what a lot of actresses were cleaning with Lisa.,Most drivers reveal what a lot of actresses were cleaning the dish with.,Most drivers reveal what were cleaning the dish.,257
258,Dan investigated that this child might drop by this high school for Brad.,Dan investigated what this child might drop by for Brad.,Dan investigated what this child might drop by this high school for.,Dan investigated what might drop by this high school.,258
259,Andrew discovered that pedestrians do fight Gerald with Carla.,Andrew discovered who pedestrians do fight with Carla.,Andrew discovered who pedestrians do fight Gerald with.,Andrew discovered who do fight Gerald.,259
260,Sara had investigated that the screen shouldn't disgust Christopher with Florence.,Sara had investigated who the screen shouldn't disgust with Florence.,Sara had investigated who the screen shouldn't disgust Christopher with.,Sara had investigated who shouldn't disgust Christopher.,260
261,Marie didn't investigate that all books disagree with some patients with April.,Marie didn't investigate who all books disagree with with April.,Marie didn't investigate who all books disagree with some patients with.,Marie didn't investigate who disagree with some patients.,261
262,A school revealed that the beers had looked like some print with Jane.,A school revealed what the beers had looked like with Jane.,A school revealed what the beers had looked like some print with.,A school revealed what had looked like some print.,262
263,Kenneth found out that drivers won't climb up some mountains for Jason.,Kenneth found out what drivers won't climb up for Jason.,Kenneth found out what drivers won't climb up some mountains for.,Kenneth found out what won't climb up some mountains.,263
264,Omar hasn't realized that a lot of hairdressers haven't observed Alan for Donna.,Omar hasn't realized who a lot of hairdressers haven't observed for Donna.,Omar hasn't realized who a lot of hairdressers haven't observed Alan for.,Omar hasn't realized who haven't observed Alan.,264
265,Samantha found out that the woman examines these stories for Lawrence.,Samantha found out what the woman examines for Lawrence.,Samantha found out what the woman examines these stories for.,Samantha found out what examines these stories.,265
266,Those women conceal that those partners clean the books with that senator.,Those women conceal what those partners clean with that senator.,Those women conceal what those partners clean the books with.,Those women conceal what clean the books.,266
267,Carla won't conceal that these hairdressers weren't tearing those jackets with some associates.,Carla won't conceal what these hairdressers weren't tearing with some associates.,Carla won't conceal what these hairdressers weren't tearing those jackets with.,Carla won't conceal what weren't tearing those jackets.,267
268,Some dancers forget that all senators held Eric with Natalie.,Some dancers forget who all senators held with Natalie.,Some dancers forget who all senators held Eric with.,Some dancers forget who held Eric.,268
269,Carla forgot that the doctors climbed up some hill with the guest.,Carla forgot what the doctors climbed up with the guest.,Carla forgot what the doctors climbed up some hill with.,Carla forgot what climbed up some hill.,269
270,This oncologist hadn't realized that a museum might hire Jane with Sally.,This oncologist hadn't realized who a museum might hire with Sally.,This oncologist hadn't realized who a museum might hire Jane with.,This oncologist hadn't realized who might hire Jane.,270
271,This person conceals that some drivers had destroyed most couches for Heather.,This person conceals what some drivers had destroyed for Heather.,This person conceals what some drivers had destroyed most couches for.,This person conceals what had destroyed most couches.,271
272,Christine is discovering that a lot of boys have explored that library with a patient.,Christine is discovering what a lot of boys have explored with a patient.,Christine is discovering what a lot of boys have explored that library with.,Christine is discovering what have explored that library.,272
273,Stephanie will realize that an organization insults this art gallery for Elizabeth.,Stephanie will realize what an organization insults for Elizabeth.,Stephanie will realize what an organization insults this art gallery for.,Stephanie will realize what insults this art gallery.,273
274,Roger won't find out that some library spends every donation with Donna.,Roger won't find out what some library spends with Donna.,Roger won't find out what some library spends every donation with.,Roger won't find out what spends every donation.,274
275,Amelia revealed that a box confuses Natalie with Peter.,Amelia revealed who a box confuses with Peter.,Amelia revealed who a box confuses Natalie with.,Amelia revealed who confuses Natalie.,275
276,Joseph hasn't revealed that the offspring stun this actress with all oncologists.,Joseph hasn't revealed who the offspring stun with all oncologists.,Joseph hasn't revealed who the offspring stun this actress with.,Joseph hasn't revealed who stun this actress.,276
277,David isn't forgetting that some cat has annoyed Marie for Christopher.,David isn't forgetting who some cat has annoyed for Christopher.,David isn't forgetting who some cat has annoyed Marie for.,David isn't forgetting who has annoyed Marie.,277
278,Carlos investigated that some partner wasn't singing this ballad for the Impressionists.,Carlos investigated what some partner wasn't singing for the Impressionists.,Carlos investigated what some partner wasn't singing this ballad for.,Carlos investigated what wasn't singing this ballad.,278
279,Suzanne didn't find out that this lawyer will forgive Carolyn for Alice.,Suzanne didn't find out who this lawyer will forgive for Alice.,Suzanne didn't find out who this lawyer will forgive Carolyn for.,Suzanne didn't find out who will forgive Carolyn.,279
280,Judy didn't realize that some tutors were listening to Jill with Omar.,Judy didn't realize who some tutors were listening to with Omar.,Judy didn't realize who some tutors were listening to Jill with.,Judy didn't realize who were listening to Jill.,280
281,Tanya discovers that this electrician bites this fish for most actresses.,Tanya discovers what this electrician bites for most actresses.,Tanya discovers what this electrician bites this fish for.,Tanya discovers what bites this fish.,281
282,Grace investigates that some horses harm Mitchell for Laurie.,Grace investigates who some horses harm for Laurie.,Grace investigates who some horses harm Mitchell for.,Grace investigates who harm Mitchell.,282
283,Angela learns that these actors attack Joseph with Michelle.,Angela learns who these actors attack with Michelle.,Angela learns who these actors attack Joseph with.,Angela learns who attack Joseph.,283
284,Chad had learned that this dancer will admire many hats with Nancy.,Chad had learned what this dancer will admire with Nancy.,Chad had learned what this dancer will admire many hats with.,Chad had learned what will admire many hats.,284
285,Lawyers can forget that this alumnus cares for Patrick for Theresa.,Lawyers can forget who this alumnus cares for for Theresa.,Lawyers can forget who this alumnus cares for Patrick for.,Lawyers can forget who cares for Patrick.,285
286,Todd had figured out that women hadn't exited many college campuses with James.,Todd had figured out what women hadn't exited with James.,Todd had figured out what women hadn't exited many college campuses with.,Todd had figured out what hadn't exited many college campuses.,286
287,Teenagers conceal that a guest cares for Kenneth with some adults.,Teenagers conceal who a guest cares for with some adults.,Teenagers conceal who a guest cares for Kenneth with.,Teenagers conceal who cares for Kenneth.,287
288,Marie hasn't learned that children visit Valerie with the actors.,Marie hasn't learned who children visit with the actors.,Marie hasn't learned who children visit Valerie with.,Marie hasn't learned who visit Valerie.,288
289,A waiter didn't investigate that men hide Debra with Adam.,A waiter didn't investigate who men hide with Adam.,A waiter didn't investigate who men hide Debra with.,A waiter didn't investigate who hide Debra.,289
290,Daniel realized that those senators arrived at that hospital for Ann.,Daniel realized what those senators arrived at for Ann.,Daniel realized what those senators arrived at that hospital for.,Daniel realized what arrived at that hospital.,290
291,That podiatrist isn't remembering that girls haven't drawn some mouths for the Lutherans.,That podiatrist isn't remembering what girls haven't drawn for the Lutherans.,That podiatrist isn't remembering what girls haven't drawn some mouths for.,That podiatrist isn't remembering what haven't drawn some mouths.,291
292,Karen knew that this boy shouldn't shake Brian with Anne.,Karen knew who this boy shouldn't shake with Anne.,Karen knew who this boy shouldn't shake Brian with.,Karen knew who shouldn't shake Brian.,292
293,Teresa investigated that a lot of women have loved those prints for Maria.,Teresa investigated what a lot of women have loved for Maria.,Teresa investigated what a lot of women have loved those prints for.,Teresa investigated what have loved those prints.,293
294,Kathleen investigated that this teenager cleaned a lot of mirrors for Helen.,Kathleen investigated what this teenager cleaned for Helen.,Kathleen investigated what this teenager cleaned a lot of mirrors for.,Kathleen investigated what cleaned a lot of mirrors.,294
295,Linda is concealing that many governments hire Heather with Florence.,Linda is concealing who many governments hire with Florence.,Linda is concealing who many governments hire Heather with.,Linda is concealing who hire Heather.,295
296,Heather can discover that the doctors messed up a lot of shoes for that associate.,Heather can discover what the doctors messed up for that associate.,Heather can discover what the doctors messed up a lot of shoes for.,Heather can discover what messed up a lot of shoes.,296
297,Many associates figure out that a lot of French teachers couldn't boycott some public parks for every associate.,Many associates figure out what a lot of French teachers couldn't boycott for every associate.,Many associates figure out what a lot of French teachers couldn't boycott some public parks for.,Many associates figure out what couldn't boycott some public parks.,297
298,Judy could remember that many podiatrists walked through many schools for Veronica.,Judy could remember what many podiatrists walked through for Veronica.,Judy could remember what many podiatrists walked through many schools for.,Judy could remember what walked through many schools.,298
299,Most schools found out that the senator hadn't cured Sally with those dancers.,Most schools found out who the senator hadn't cured with those dancers.,Most schools found out who the senator hadn't cured Sally with.,Most schools found out who hadn't cured Sally.,299
300,Roger remembers that a lot of customers fixed some plates for Laurie.,Roger remembers what a lot of customers fixed for Laurie.,Roger remembers what a lot of customers fixed some plates for.,Roger remembers what fixed some plates.,300
301,Brenda hasn't figured out that these doctors hadn't hidden Laura for Debra.,Brenda hasn't figured out who these doctors hadn't hidden for Debra.,Brenda hasn't figured out who these doctors hadn't hidden Laura for.,Brenda hasn't figured out who hadn't hidden Laura.,301
302,A customer investigated that a lot of handymen bent a lot of canoes with Laurie.,A customer investigated what a lot of handymen bent with Laurie.,A customer investigated what a lot of handymen bent a lot of canoes with.,A customer investigated what bent a lot of canoes.,302
303,Most hospitals weren't realizing that the lawyer kept that water with Amanda.,Most hospitals weren't realizing what the lawyer kept with Amanda.,Most hospitals weren't realizing what the lawyer kept that water with.,Most hospitals weren't realizing what kept that water.,303
304,Naomi knows that that teacher goes to high schools for some tutors.,Naomi knows what that teacher goes to for some tutors.,Naomi knows what that teacher goes to high schools for.,Naomi knows what goes to high schools.,304
305,Patricia conceals that every student hasn't fixed these dishes for many guys.,Patricia conceals what every student hasn't fixed for many guys.,Patricia conceals what every student hasn't fixed these dishes for.,Patricia conceals what hasn't fixed these dishes.,305
306,Keith might investigate that some teachers eat that bread with Elizabeth.,Keith might investigate what some teachers eat with Elizabeth.,Keith might investigate what some teachers eat that bread with.,Keith might investigate what eat that bread.,306
307,Martha isn't discovering that that tutor shouldn't research that college campus with Daniel.,Martha isn't discovering what that tutor shouldn't research with Daniel.,Martha isn't discovering what that tutor shouldn't research that college campus with.,Martha isn't discovering what shouldn't research that college campus.,307
308,Anne shouldn't find out that all actors did repair that ship with Brenda.,Anne shouldn't find out what all actors did repair with Brenda.,Anne shouldn't find out what all actors did repair that ship with.,Anne shouldn't find out what did repair that ship.,308
309,Rose isn't concealing that every offspring has heard many associates with Denise.,Rose isn't concealing who every offspring has heard with Denise.,Rose isn't concealing who every offspring has heard many associates with.,Rose isn't concealing who has heard many associates.,309
310,Benjamin investigated that most men kiss Eva with Debra.,Benjamin investigated who most men kiss with Debra.,Benjamin investigated who most men kiss Eva with.,Benjamin investigated who kiss Eva.,310
311,A doctor hasn't figured out that these doctors climb up those hills for Holly.,A doctor hasn't figured out what these doctors climb up for Holly.,A doctor hasn't figured out what these doctors climb up those hills for.,A doctor hasn't figured out what climb up those hills.,311
312,The schools are revealing that some lawyers can catch all guests for the dentist.,The schools are revealing who some lawyers can catch for the dentist.,The schools are revealing who some lawyers can catch all guests for.,The schools are revealing who can catch all guests.,312
313,These organizations investigate that every child would sink some ship for Donald.,These organizations investigate what every child would sink for Donald.,These organizations investigate what every child would sink some ship for.,These organizations investigate what would sink some ship.,313
314,Mitchell hadn't revealed that some schools fire Renee with Jessica.,Mitchell hadn't revealed who some schools fire with Jessica.,Mitchell hadn't revealed who some schools fire Renee with.,Mitchell hadn't revealed who fire Renee.,314
315,The Clintons were finding out that this woman has liked a gate for Vincent.,The Clintons were finding out what this woman has liked for Vincent.,The Clintons were finding out what this woman has liked a gate for.,The Clintons were finding out what has liked a gate.,315
316,Michael reveals that the associate wasn't talking to Amelia for Mark.,Michael reveals who the associate wasn't talking to for Mark.,Michael reveals who the associate wasn't talking to Amelia for.,Michael reveals who wasn't talking to Amelia.,316
317,Wendy will investigate that all windows weren't confusing Dana with Jennifer.,Wendy will investigate who all windows weren't confusing with Jennifer.,Wendy will investigate who all windows weren't confusing Dana with.,Wendy will investigate who weren't confusing Dana.,317
318,Phillip hasn't found out that a lot of diagnoses alarm all women for Jane.,Phillip hasn't found out who a lot of diagnoses alarm for Jane.,Phillip hasn't found out who a lot of diagnoses alarm all women for.,Phillip hasn't found out who alarm all women.,318
319,This man realized that every alumnus sinks every raft for most people.,This man realized what every alumnus sinks for most people.,This man realized what every alumnus sinks every raft for.,This man realized what sinks every raft.,319
320,Janet did find out that all electricians passed this school for the students.,Janet did find out what all electricians passed for the students.,Janet did find out what all electricians passed this school for.,Janet did find out what passed this school.,320
321,Those pedestrians were finding out that many partners are confusing Benjamin with Margaret.,Those pedestrians were finding out who many partners are confusing with Margaret.,Those pedestrians were finding out who many partners are confusing Benjamin with.,Those pedestrians were finding out who are confusing Benjamin.,321
322,Allison hadn't realized that these podiatrists shot Nina with those guests.,Allison hadn't realized who these podiatrists shot with those guests.,Allison hadn't realized who these podiatrists shot Nina with.,Allison hadn't realized who shot Nina.,322
323,Sharon hasn't remembered that this person explores Spain for every waiter.,Sharon hasn't remembered what this person explores for every waiter.,Sharon hasn't remembered what this person explores Spain for.,Sharon hasn't remembered what explores Spain.,323
324,An actress conceals that most children should investigate this guest with Noah.,An actress conceals who most children should investigate with Noah.,An actress conceals who most children should investigate this guest with.,An actress conceals who should investigate this guest.,324
325,Susan knows that the student runs around that museum for Debra.,Susan knows what the student runs around for Debra.,Susan knows what the student runs around that museum for.,Susan knows what runs around that museum.,325
326,Timothy won't remember that a legislature likes Sally for Anne.,Timothy won't remember who a legislature likes for Anne.,Timothy won't remember who a legislature likes Sally for.,Timothy won't remember who likes Sally.,326
327,Every associate remembers that all women kiss Jodi for Connie.,Every associate remembers who all women kiss for Connie.,Every associate remembers who all women kiss Jodi for.,Every associate remembers who kiss Jodi.,327
328,The student can realize that a customer investigated Julia for this actress.,The student can realize who a customer investigated for this actress.,The student can realize who a customer investigated Julia for.,The student can realize who investigated Julia.,328
329,Every legislature did find out that a woman hadn't boycotted a lot of high schools with Matt.,Every legislature did find out what a woman hadn't boycotted with Matt.,Every legislature did find out what a woman hadn't boycotted a lot of high schools with.,Every legislature did find out what hadn't boycotted a lot of high schools.,329
330,Karen did conceal that every woman exited this hospital with Chad.,Karen did conceal what every woman exited with Chad.,Karen did conceal what every woman exited this hospital with.,Karen did conceal what exited this hospital.,330
331,Tanya isn't figuring out that some waitresses haven't heard Theresa with Eric.,Tanya isn't figuring out who some waitresses haven't heard with Eric.,Tanya isn't figuring out who some waitresses haven't heard Theresa with.,Tanya isn't figuring out who haven't heard Theresa.,331
332,The actor hasn't known that these patients don't light this projector with Janet.,The actor hasn't known what these patients don't light with Janet.,The actor hasn't known what these patients don't light this projector with.,The actor hasn't known what don't light this projector.,332
333,Jane doesn't reveal that those teenagers tear the dress for Holly.,Jane doesn't reveal what those teenagers tear for Holly.,Jane doesn't reveal what those teenagers tear the dress for.,Jane doesn't reveal what tear the dress.,333
334,Some child hadn't realized that some piano teachers climb up this ladder with some associate.,Some child hadn't realized what some piano teachers climb up with some associate.,Some child hadn't realized what some piano teachers climb up this ladder with.,Some child hadn't realized what climb up this ladder.,334
335,All schools investigated that the mouths bore the Lutherans with Carol.,All schools investigated who the mouths bore with Carol.,All schools investigated who the mouths bore the Lutherans with.,All schools investigated who bore the Lutherans.,335
336,The senators don't learn that the driver was eating that banana for Nicole.,The senators don't learn what the driver was eating for Nicole.,The senators don't learn what the driver was eating that banana for.,The senators don't learn what was eating that banana.,336
337,Kimberley can conceal that these piano teachers aren't striking Todd with Todd.,Kimberley can conceal who these piano teachers aren't striking with Todd.,Kimberley can conceal who these piano teachers aren't striking Todd with.,Kimberley can conceal who aren't striking Todd.,337
338,Rachel will investigate that many students did admire Denise for Donna.,Rachel will investigate who many students did admire for Donna.,Rachel will investigate who many students did admire Denise for.,Rachel will investigate who did admire Denise.,338
339,That committee has remembered that a woman didn't drive to a glacier for Jill.,That committee has remembered what a woman didn't drive to for Jill.,That committee has remembered what a woman didn't drive to a glacier for.,That committee has remembered what didn't drive to a glacier.,339
340,Kristen hadn't found out that the teacher finds that girl for Gina.,Kristen hadn't found out who the teacher finds for Gina.,Kristen hadn't found out who the teacher finds that girl for.,Kristen hadn't found out who finds that girl.,340
341,Tara couldn't discover that these senators built libraries for every actress.,Tara couldn't discover what these senators built for every actress.,Tara couldn't discover what these senators built libraries for.,Tara couldn't discover what built libraries.,341
342,Bill investigates that some patient will heal Laura with Kirsten.,Bill investigates who some patient will heal with Kirsten.,Bill investigates who some patient will heal Laura with.,Bill investigates who will heal Laura.,342
343,Naomi does figure out that the tutor wouldn't climb up a lot of mountains with Rebecca.,Naomi does figure out what the tutor wouldn't climb up with Rebecca.,Naomi does figure out what the tutor wouldn't climb up a lot of mountains with.,Naomi does figure out what wouldn't climb up a lot of mountains.,343
344,Some hospital has forgotten that a lot of alumni would hinder a library for Lori.,Some hospital has forgotten what a lot of alumni would hinder for Lori.,Some hospital has forgotten what a lot of alumni would hinder a library for.,Some hospital has forgotten what would hinder a library.,344
345,These guests reveal that that teenager investigates Marcus for Steven.,These guests reveal who that teenager investigates for Steven.,These guests reveal who that teenager investigates Marcus for.,These guests reveal who investigates Marcus.,345
346,A lot of guests learn that that podiatrist remembered many cafes for Lisa.,A lot of guests learn what that podiatrist remembered for Lisa.,A lot of guests learn what that podiatrist remembered many cafes for.,A lot of guests learn what remembered many cafes.,346
347,Dan was discovering that doctors know Victoria with Kimberley.,Dan was discovering who doctors know with Kimberley.,Dan was discovering who doctors know Victoria with.,Dan was discovering who know Victoria.,347
348,All tutors forget that a customer ate every tomato for Beth.,All tutors forget what a customer ate for Beth.,All tutors forget what a customer ate every tomato for.,All tutors forget what ate every tomato.,348
349,Dennis shouldn't remember that a boy hadn't cleaned couches with a driver.,Dennis shouldn't remember what a boy hadn't cleaned with a driver.,Dennis shouldn't remember what a boy hadn't cleaned couches with.,Dennis shouldn't remember what hadn't cleaned couches.,349
350,Some student conceals that the pedestrians aren't keeping a lot of books for Mary.,Some student conceals what the pedestrians aren't keeping for Mary.,Some student conceals what the pedestrians aren't keeping a lot of books for.,Some student conceals what aren't keeping a lot of books.,350
351,Aaron realizes that these men admired most screens with the Clintons.,Aaron realizes what these men admired with the Clintons.,Aaron realizes what these men admired most screens with.,Aaron realizes what admired most screens.,351
352,The Clintons concealed that those pedestrians annoy that hairdresser with a patient.,The Clintons concealed who those pedestrians annoy with a patient.,The Clintons concealed who those pedestrians annoy that hairdresser with.,The Clintons concealed who annoy that hairdresser.,352
353,Spain has discovered that a lot of drivers forgave a dentist for Winston Churchill.,Spain has discovered who a lot of drivers forgave for Winston Churchill.,Spain has discovered who a lot of drivers forgave a dentist for.,Spain has discovered who forgave a dentist.,353
354,Veronica figured out that this customer kisses Joseph with Meredith.,Veronica figured out who this customer kisses with Meredith.,Veronica figured out who this customer kisses Joseph with.,Veronica figured out who kisses Joseph.,354
355,Ella realizes that a lot of electricians watch Raymond for the teacher.,Ella realizes who a lot of electricians watch for the teacher.,Ella realizes who a lot of electricians watch Raymond for.,Ella realizes who watch Raymond.,355
356,All patients know that most guys aren't firing tutors with Vanessa.,All patients know who most guys aren't firing with Vanessa.,All patients know who most guys aren't firing tutors with.,All patients know who aren't firing tutors.,356
357,The tutor found out that a doctor escaped from Amanda with Jesus.,The tutor found out who a doctor escaped from with Jesus.,The tutor found out who a doctor escaped from Amanda with.,The tutor found out who escaped from Amanda.,357
358,Heather realizes that juice hindered Ann for Gerald.,Heather realizes who juice hindered for Gerald.,Heather realizes who juice hindered Ann for.,Heather realizes who hindered Ann.,358
359,Bruce isn't forgetting that most boys complained about Donald with Michael.,Bruce isn't forgetting who most boys complained about with Michael.,Bruce isn't forgetting who most boys complained about Donald with.,Bruce isn't forgetting who complained about Donald.,359
360,A lot of teachers forget that a woman has shaken Amanda with Jesus.,A lot of teachers forget who a woman has shaken with Jesus.,A lot of teachers forget who a woman has shaken Amanda with.,A lot of teachers forget who has shaken Amanda.,360
361,Rose is finding out that those men remembered George for Renee.,Rose is finding out who those men remembered for Renee.,Rose is finding out who those men remembered George for.,Rose is finding out who remembered George.,361
362,Brad had concealed that many children skate around some library with Christine.,Brad had concealed what many children skate around with Christine.,Brad had concealed what many children skate around some library with.,Brad had concealed what skate around some library.,362
363,Keith would figure out that that guest took the ladder with some customers.,Keith would figure out what that guest took with some customers.,Keith would figure out what that guest took the ladder with.,Keith would figure out what took the ladder.,363
364,Paul learned that this projector should distract these guests for Mary.,Paul learned who this projector should distract for Mary.,Paul learned who this projector should distract these guests for.,Paul learned who should distract these guests.,364
365,The pedestrian had figured out that these essays will sound like Renee with Vincent.,The pedestrian had figured out who these essays will sound like with Vincent.,The pedestrian had figured out who these essays will sound like Renee with.,The pedestrian had figured out who will sound like Renee.,365
366,Every senator was revealing that some bananas won't embarrass Theodore with Heather.,Every senator was revealing who some bananas won't embarrass with Heather.,Every senator was revealing who some bananas won't embarrass Theodore with.,Every senator was revealing who won't embarrass Theodore.,366
367,This tutor will discover that a lot of podiatrists are aggravating Kendra for Emily.,This tutor will discover who a lot of podiatrists are aggravating for Emily.,This tutor will discover who a lot of podiatrists are aggravating Kendra for.,This tutor will discover who are aggravating Kendra.,367
368,Dawn forgets that many birds aren't impressing Julie with women.,Dawn forgets who many birds aren't impressing with women.,Dawn forgets who many birds aren't impressing Julie with.,Dawn forgets who aren't impressing Julie.,368
369,A lot of associations are forgetting that these ladies shoot a lot of senators with Nicole.,A lot of associations are forgetting who these ladies shoot with Nicole.,A lot of associations are forgetting who these ladies shoot a lot of senators with.,A lot of associations are forgetting who shoot a lot of senators.,369
370,Tiffany conceals that this electrician researched those essays with Russell.,Tiffany conceals what this electrician researched with Russell.,Tiffany conceals what this electrician researched those essays with.,Tiffany conceals what researched those essays.,370
371,Amelia hasn't concealed that a lot of senators can't keep a lot of glasses for Gregory.,Amelia hasn't concealed what a lot of senators can't keep for Gregory.,Amelia hasn't concealed what a lot of senators can't keep a lot of glasses for.,Amelia hasn't concealed what can't keep a lot of glasses.,371
372,An organization had known that every dentist climbed down that hill with Bradley.,An organization had known what every dentist climbed down with Bradley.,An organization had known what every dentist climbed down that hill with.,An organization had known what climbed down that hill.,372
373,Noah was concealing that that pedestrian wouldn't forgive the girls for Gerald.,Noah was concealing who that pedestrian wouldn't forgive for Gerald.,Noah was concealing who that pedestrian wouldn't forgive the girls for.,Noah was concealing who wouldn't forgive the girls.,373
374,Kevin can learn that some person will destroy the bike with these customers.,Kevin can learn what some person will destroy with these customers.,Kevin can learn what some person will destroy the bike with.,Kevin can learn what will destroy the bike.,374
375,Dennis learns that some tutor will dislike Julia with that waitress.,Dennis learns who some tutor will dislike with that waitress.,Dennis learns who some tutor will dislike Julia with.,Dennis learns who will dislike Julia.,375
376,Stacey learns that the teenagers draw Tracy for Beth.,Stacey learns who the teenagers draw for Beth.,Stacey learns who the teenagers draw Tracy for.,Stacey learns who draw Tracy.,376
377,Carol discovers that that alumnus fires the customer for Brett.,Carol discovers who that alumnus fires for Brett.,Carol discovers who that alumnus fires the customer for.,Carol discovers who fires the customer.,377
378,The Impressionists forget that a woman isn't breeding most rabbits with Carlos.,The Impressionists forget what a woman isn't breeding with Carlos.,The Impressionists forget what a woman isn't breeding most rabbits with.,The Impressionists forget what isn't breeding most rabbits.,378
379,Sarah wasn't investigating that some hamster hadn't descended every hill with a lot of handymen.,Sarah wasn't investigating what some hamster hadn't descended with a lot of handymen.,Sarah wasn't investigating what some hamster hadn't descended every hill with.,Sarah wasn't investigating what hadn't descended every hill.,379
380,Tracy discovered that the hairdressers harm some patients for many associates.,Tracy discovered who the hairdressers harm for many associates.,Tracy discovered who the hairdressers harm some patients for.,Tracy discovered who harm some patients.,380
381,Many doctors realize that this girl cured Randolf for Beth.,Many doctors realize who this girl cured for Beth.,Many doctors realize who this girl cured Randolf for.,Many doctors realize who cured Randolf.,381
382,The Lutherans realized that this person has sung most songs with Larry.,The Lutherans realized what this person has sung with Larry.,The Lutherans realized what this person has sung most songs with.,The Lutherans realized what has sung most songs.,382
383,The universities forget that many children climb up many mountains for Andrew.,The universities forget what many children climb up for Andrew.,The universities forget what many children climb up many mountains for.,The universities forget what climb up many mountains.,383
384,A boy has known that those girls had observed Paula with Heidi.,A boy has known who those girls had observed with Heidi.,A boy has known who those girls had observed Paula with.,A boy has known who had observed Paula.,384
385,Some students learn that the restaurants aggravate Brett with Craig.,Some students learn who the restaurants aggravate with Craig.,Some students learn who the restaurants aggravate Brett with.,Some students learn who aggravate Brett.,385
386,Some hospitals discover that all children hadn't argued about Carl for that girl.,Some hospitals discover who all children hadn't argued about for that girl.,Some hospitals discover who all children hadn't argued about Carl for.,Some hospitals discover who hadn't argued about Carl.,386
387,The actors knew that some windows bother Janice with Jason.,The actors knew who some windows bother with Jason.,The actors knew who some windows bother Janice with.,The actors knew who bother Janice.,387
