,obj_that,obj_wh,pp_wh,subj_wh,emb_that,emb_wh,emb_whether,adj_that,adj_wh,adj_subj_that,adj_subj_wh,np_that,np_wh,pairID
39,A lot of governments conceal that all handymen weren't teaching this senator for those customers.,A lot of governments conceal who all handymen weren't teaching for those customers.,A lot of governments conceal who all handymen weren't teaching this senator for.,A lot of governments conceal who weren't teaching this senator.,Renee has forgotten that Sabrina remembered that that teenager had liked Amy.,Renee has forgotten who Sabrina remembered that that teenager had liked.,Renee has forgotten that Sabrina remembered whether that teenager had liked Amy.,Maria discovers that the waitress listens to waitresses after shaking every partner.,Maria discovers who the waitress listens to after shaking every partner.,Maria discovers that the waitress enticed after shaking every partner listens to waitresses.,Maria discovers who the waitress enticed after shaking every partner listens to.,Some boys realize that some piano teachers who can't confuse these partners led Ruth.,Some boys realize who some piano teachers who can't confuse these partners led.,39
40,Amy forgets that the waiter can wear that shirt for Emily.,Amy forgets what the waiter can wear for Emily.,Amy forgets what the waiter can wear that shirt for.,Amy forgets what can wear that shirt.,The French teachers know that Maria is remembering that the senator was complaining about this French teacher.,The French teachers know who Maria is remembering that the senator was complaining about.,The French teachers know that Maria is remembering whether the senator was complaining about this French teacher.,Natalie can know that the patient hadn't remembered Steven while hiding Rose.,Natalie can know who the patient hadn't remembered while hiding Rose.,Natalie can know that the patient held while hiding Rose hadn't remembered Steven.,Natalie can know who the patient held while hiding Rose hadn't remembered.,That waiter isn't discovering that many dentists who bite Patricia weren't choosing those mountains.,That waiter isn't discovering what many dentists who bite Patricia weren't choosing.,40
41,Those doctors find out that every boy returns to Carlos with Daniel.,Those doctors find out who every boy returns to with Daniel.,Those doctors find out who every boy returns to Carlos with.,Those doctors find out who returns to Carlos.,All children know that those drivers weren't figuring out that these boys had argued about Wendy.,All children know who those drivers weren't figuring out that these boys had argued about.,All children know that those drivers weren't figuring out whether these boys had argued about Wendy.,Peter isn't figuring out that some women sound like a waiter after curing George.,Peter isn't figuring out who some women sound like after curing George.,Peter isn't figuring out that some women explained everything after curing George sound like a waiter.,Peter isn't figuring out who some women explained everything after curing George sound like.,Joel isn't learning that this patient who should notice jackets should tour that high school.,Joel isn't learning what this patient who should notice jackets should tour.,41
42,The contractor hasn't discovered that a lot of French teachers haven't passed every college campus for Adam.,The contractor hasn't discovered what a lot of French teachers haven't passed for Adam.,The contractor hasn't discovered what a lot of French teachers haven't passed every college campus for.,The contractor hasn't discovered what haven't passed every college campus.,Matt would realize that Melanie investigates that every offspring cleaned every cup.,Matt would realize what Melanie investigates that every offspring cleaned.,Matt would realize that Melanie investigates whether every offspring cleaned every cup.,Charles isn't learning that dentists drive many carts after fixing some raft.,Charles isn't learning what dentists drive after fixing some raft.,Charles isn't learning that dentists admired after fixing some raft drive many carts.,Charles isn't learning what dentists admired after fixing some raft drive.,The lawyer has realized that hairdressers who hadn't researched some hill annoy these partners.,The lawyer has realized who hairdressers who hadn't researched some hill annoy.,42
43,Kristen hadn't figured out that the lamp stuns a guy with some doctors.,Kristen hadn't figured out who the lamp stuns with some doctors.,Kristen hadn't figured out who the lamp stuns a guy with.,Kristen hadn't figured out who stuns a guy.,Martin figures out that some teachers remember that alumni had bored Melanie.,Martin figures out who some teachers remember that alumni had bored.,Martin figures out that some teachers remember whether alumni had bored Melanie.,Vincent hadn't forgotten that the waiter hadn't concealed Benjamin after shaking some lady.,Vincent hadn't forgotten who the waiter hadn't concealed after shaking some lady.,Vincent hadn't forgotten that the waiter observed after shaking some lady hadn't concealed Benjamin.,Vincent hadn't forgotten who the waiter observed after shaking some lady hadn't concealed.,That organization investigated that that associate who went to some public parks breeds the rabbits.,That organization investigated what that associate who went to some public parks breeds.,43
44,Those schools couldn't conceal that every offspring hasn't praised Jeffrey with Pamela.,Those schools couldn't conceal who every offspring hasn't praised with Pamela.,Those schools couldn't conceal who every offspring hasn't praised Jeffrey with.,Those schools couldn't conceal who hasn't praised Jeffrey.,This contractor isn't discovering that Kristin hadn't forgotten that most ladies would sink the canoe.,This contractor isn't discovering what Kristin hadn't forgotten that most ladies would sink.,This contractor isn't discovering that Kristin hadn't forgotten whether most ladies would sink the canoe.,Adam wouldn't discover that most pedestrians hadn't cleaned the plates before thinking about most windows.,Adam wouldn't discover what most pedestrians hadn't cleaned before thinking about most windows.,Adam wouldn't discover that most pedestrians urged before thinking about most windows hadn't cleaned the plates.,Adam wouldn't discover what most pedestrians urged before thinking about most windows hadn't cleaned.,Some pedestrians conceal that the girls who lead Mary love Roger.,Some pedestrians conceal who the girls who lead Mary love.,44
45,The Impressionists aren't realizing that all ladies were ascending some stairs with Tracy.,The Impressionists aren't realizing what all ladies were ascending with Tracy.,The Impressionists aren't realizing what all ladies were ascending some stairs with.,The Impressionists aren't realizing what were ascending some stairs.,Jane discovers that Debra reveals that a woman respected Anne.,Jane discovers who Debra reveals that a woman respected.,Jane discovers that Debra reveals whether a woman respected Anne.,Most museums know that this hypothesis disturbs Heidi while bothering Craig.,Most museums know who this hypothesis disturbs while bothering Craig.,Most museums know that this hypothesis washed while bothering Craig disturbs Heidi.,Most museums know who this hypothesis washed while bothering Craig disturbs.,The associates reveal that universities what weren't fighting Stephen shouldn't embarrass those guests.,The associates reveal who universities what weren't fighting Stephen shouldn't embarrass.,45
46,Russell had found out that that tutor had criticized every patient for Elaine.,Russell had found out who that tutor had criticized for Elaine.,Russell had found out who that tutor had criticized every patient for.,Russell had found out who had criticized every patient.,Some children realized that a lot of partners realize that the doctors should complain about Brad.,Some children realized who a lot of partners realize that the doctors should complain about.,Some children realized that a lot of partners realize whether the doctors should complain about Brad.,Every actress finds out that all doctors weren't scanning every play while praising Patricia.,Every actress finds out what all doctors weren't scanning while praising Patricia.,Every actress finds out that all doctors shrunk while praising Patricia weren't scanning every play.,Every actress finds out what all doctors shrunk while praising Patricia weren't scanning.,Many museums reveal that those actresses who meet a French teacher were boasting about some oncologist.,Many museums reveal who those actresses who meet a French teacher were boasting about.,46
47,Adam couldn't realize that these handymen get a truck with Derek.,Adam couldn't realize what these handymen get with Derek.,Adam couldn't realize what these handymen get a truck with.,Adam couldn't realize what get a truck.,Gary remembers that every committee remembers that some lawyer aggravate most people.,Gary remembers who every committee remembers that some lawyer aggravate.,Gary remembers that every committee remembers whether some lawyer aggravate most people.,George remembered that many guys couldn't hide these cups before revealing George.,George remembered what many guys couldn't hide before revealing George.,George remembered that many guys rusted before revealing George couldn't hide these cups.,George remembered what many guys rusted before revealing George couldn't hide.,Sarah learned that this boy who reveals jackets was exploring most malls.,Sarah learned what this boy who reveals jackets was exploring.,47
48,All waitresses discover that those oncologists sink a lot of rafts for Cynthia.,All waitresses discover what those oncologists sink for Cynthia.,All waitresses discover what those oncologists sink a lot of rafts for.,All waitresses discover what sink a lot of rafts.,Christine isn't discovering that Ann found out that a hospital fixed some ship.,Christine isn't discovering what Ann found out that a hospital fixed.,Christine isn't discovering that Ann found out whether a hospital fixed some ship.,Carl wasn't concealing that some electrician doesn't wear every sweater while admiring those doors.,Carl wasn't concealing what some electrician doesn't wear while admiring those doors.,Carl wasn't concealing that some electrician wasted away while admiring those doors doesn't wear every sweater.,Carl wasn't concealing what some electrician wasted away while admiring those doors doesn't wear.,Denise hasn't found out that a lot of guys who argue about Amanda can argue about Alan.,Denise hasn't found out who a lot of guys who argue about Amanda can argue about.,48
49,The ladies are investigating that every senator is impressing Walter for the Impressionists.,The ladies are investigating who every senator is impressing for the Impressionists.,The ladies are investigating who every senator is impressing Walter for.,The ladies are investigating who is impressing Walter.,Kevin concealed that Carol had investigated that some waiters watch Sarah.,Kevin concealed who Carol had investigated that some waiters watch.,Kevin concealed that Carol had investigated whether some waiters watch Sarah.,Noah is finding out that those actors haven't shaken John while watching William.,Noah is finding out who those actors haven't shaken while watching William.,Noah is finding out that those actors assembled while watching William haven't shaken John.,Noah is finding out who those actors assembled while watching William haven't shaken.,April remembers that some drivers who sweep a lot of kitchens expose Diane.,April remembers who some drivers who sweep a lot of kitchens expose.,49
50,Adam knew that piano teachers are bringing the turtles with Maria.,Adam knew what piano teachers are bringing with Maria.,Adam knew what piano teachers are bringing the turtles with.,Adam knew what are bringing the turtles.,Mitchell isn't realizing that the Lutherans hadn't revealed that the dancer can't sell a couch.,Mitchell isn't realizing what the Lutherans hadn't revealed that the dancer can't sell.,Mitchell isn't realizing that the Lutherans hadn't revealed whether the dancer can't sell a couch.,Andrew found out that most oncologists had healed Wayne while shocking Monica.,Andrew found out who most oncologists had healed while shocking Monica.,Andrew found out that most oncologists solidified while shocking Monica had healed Wayne.,Andrew found out who most oncologists solidified while shocking Monica had healed.,Marie knows that those teenagers who lost Carla cared for Julie.,Marie knows who those teenagers who lost Carla cared for.,50
51,Jerry wasn't discovering that many people liked these blouses for Andrea.,Jerry wasn't discovering what many people liked for Andrea.,Jerry wasn't discovering what many people liked these blouses for.,Jerry wasn't discovering what liked these blouses.,A tutor could investigate that a person concealed that oncologists weren't biting many tutors.,A tutor could investigate who a person concealed that oncologists weren't biting.,A tutor could investigate that a person concealed whether oncologists weren't biting many tutors.,The French teachers figure out that that teacher wasn't discovering that banana while discovering Rose.,The French teachers figure out what that teacher wasn't discovering while discovering Rose.,The French teachers figure out that that teacher needed while discovering Rose wasn't discovering that banana.,The French teachers figure out what that teacher needed while discovering Rose wasn't discovering.,Vincent has revealed that some pedestrian who lit some spotlights went to many schools.,Vincent has revealed what some pedestrian who lit some spotlights went to.,51
52,These contractors had learned that most guests should remember a senator for Liam.,These contractors had learned who most guests should remember for Liam.,These contractors had learned who most guests should remember a senator for.,These contractors had learned who should remember a senator.,This doctor is investigating that Winston Churchill had revealed that this boy is aggravating this contractor.,This doctor is investigating who Winston Churchill had revealed that this boy is aggravating.,This doctor is investigating that Winston Churchill had revealed whether this boy is aggravating this contractor.,The legislatures figure out that that dancer has hurt Elaine after hiding some patient.,The legislatures figure out who that dancer has hurt after hiding some patient.,The legislatures figure out that that dancer discussed after hiding some patient has hurt Elaine.,The legislatures figure out who that dancer discussed after hiding some patient has hurt.,Anna was concealing that customers who exited this high school hadn't cured Valerie.,Anna was concealing who customers who exited this high school hadn't cured.,52
53,Eric figures out that many electricians purchased every fork with Suzanne.,Eric figures out what many electricians purchased with Suzanne.,Eric figures out what many electricians purchased every fork with.,Eric figures out what purchased every fork.,Patricia wasn't forgetting that some doctor had found out that some companies heals Kevin.,Patricia wasn't forgetting who some doctor had found out that some companies heals.,Patricia wasn't forgetting that some doctor had found out whether some companies heals Kevin.,All hairdressers were realizing that many patients arrive at most high schools after exiting those closets.,All hairdressers were realizing what many patients arrive at after exiting those closets.,All hairdressers were realizing that many patients hugged after exiting those closets arrive at most high schools.,All hairdressers were realizing what many patients hugged after exiting those closets arrive at.,A lot of dancers haven't forgotten that the partner who cured Debra lost Omar.,A lot of dancers haven't forgotten who the partner who cured Debra lost.,53
54,Dawn learned that those ladies didn't investigate these legislatures with Theresa.,Dawn learned what those ladies didn't investigate with Theresa.,Dawn learned what those ladies didn't investigate these legislatures with.,Dawn learned what didn't investigate these legislatures.,Donna isn't forgetting that Valerie conceals that the bank loses these cats.,Donna isn't forgetting what Valerie conceals that the bank loses.,Donna isn't forgetting that Valerie conceals whether the bank loses these cats.,Curtis is discovering that some prints hadn't looked like those projectors while looking like handymen.,Curtis is discovering what some prints hadn't looked like while looking like handymen.,Curtis is discovering that some prints hunted while looking like handymen hadn't looked like those projectors.,Curtis is discovering what some prints hunted while looking like handymen hadn't looked like.,The girls have investigated that some dentists who go to some restaurant had brought every mirror.,The girls have investigated what some dentists who go to some restaurant had brought.,54
55,Theodore revealed that the eye looks like that painting for Aaron.,Theodore revealed what the eye looks like for Aaron.,Theodore revealed what the eye looks like that painting for.,Theodore revealed what looks like that painting.,All senators weren't learning that William has investigated that that university is lighting the candle.,All senators weren't learning what William has investigated that that university is lighting.,All senators weren't learning that William has investigated whether that university is lighting the candle.,Deanna is revealing that those senators haven't investigated a library while worrying some partner.,Deanna is revealing what those senators haven't investigated while worrying some partner.,Deanna is revealing that those senators departed while worrying some partner haven't investigated a library.,Deanna is revealing what those senators departed while worrying some partner haven't investigated.,Ladies were discovering that a lawyer who walks through some closet was overwhelming Colleen.,Ladies were discovering who a lawyer who walks through some closet was overwhelming.,55
56,Frank was discovering that this adult is underwhelming Sheila with Maria.,Frank was discovering who this adult is underwhelming with Maria.,Frank was discovering who this adult is underwhelming Sheila with.,Frank was discovering who is underwhelming Sheila.,Women realize that some man learned that some electricians reveals cars.,Women realize what some man learned that some electricians reveals.,Women realize that some man learned whether some electricians reveals cars.,Most patients remember that a lot of boys admired the forks while fixing these couches.,Most patients remember what a lot of boys admired while fixing these couches.,Most patients remember that a lot of boys burned while fixing these couches admired the forks.,Most patients remember what a lot of boys burned while fixing these couches admired.,All guests hadn't found out that many students who kiss many students were looking like some photographs.,All guests hadn't found out what many students who kiss many students were looking like.,56
57,Brett does forget that some senators sweep that floor for this actress.,Brett does forget what some senators sweep for this actress.,Brett does forget what some senators sweep that floor for.,Brett does forget what sweep that floor.,Piano teachers did discover that this library discovered that those customers climbed up most hills.,Piano teachers did discover what this library discovered that those customers climbed up.,Piano teachers did discover that this library discovered whether those customers climbed up most hills.,Most senators know that this senator is getting a lot of planes without drawing Helen.,Most senators know what this senator is getting without drawing Helen.,Most senators know that this senator spun around without drawing Helen is getting a lot of planes.,Most senators know what this senator spun around without drawing Helen is getting.,The driver knows that a tutor who had shaken Kathleen questioned most libraries.,The driver knows what a tutor who had shaken Kathleen questioned.,57
58,Alan reveals that all guests climb up stairs with Jesus.,Alan reveals what all guests climb up with Jesus.,Alan reveals what all guests climb up stairs with.,Alan reveals what climb up stairs.,Those organizations discover that most electricians had revealed that many governments work with Aaron.,Those organizations discover who most electricians had revealed that many governments work with.,Those organizations discover that most electricians had revealed whether many governments work with Aaron.,Jerry hasn't investigated that some bikes distract every boy after worrying Jesus.,Jerry hasn't investigated who some bikes distract after worrying Jesus.,Jerry hasn't investigated that some bikes married after worrying Jesus distract every boy.,Jerry hasn't investigated who some bikes married after worrying Jesus distract.,Alice realizes that some children who exit a mall wouldn't sweep all kitchens.,Alice realizes what some children who exit a mall wouldn't sweep.,58
59,Caroline would forget that the pedestrian shouldn't admire Omar with a boy.,Caroline would forget who the pedestrian shouldn't admire with a boy.,Caroline would forget who the pedestrian shouldn't admire Omar with.,Caroline would forget who shouldn't admire Omar.,Maria forgets that Thomas isn't investigating that every committee wasn't returning to the waitresses.,Maria forgets who Thomas isn't investigating that every committee wasn't returning to.,Maria forgets that Thomas isn't investigating whether every committee wasn't returning to the waitresses.,Martin hadn't figured out that every guest hasn't investigated Sandra without striking Deanna.,Martin hadn't figured out who every guest hasn't investigated without striking Deanna.,Martin hadn't figured out that every guest advised without striking Deanna hasn't investigated Sandra.,Martin hadn't figured out who every guest advised without striking Deanna hasn't investigated.,Rose investigated that a lot of dancers who draw Gary had forgiven Danielle.,Rose investigated who a lot of dancers who draw Gary had forgiven.,59
60,Dennis finds out that this student isn't healing Erin for Raymond.,Dennis finds out who this student isn't healing for Raymond.,Dennis finds out who this student isn't healing Erin for.,Dennis finds out who isn't healing Erin.,Janice discovers that the actors find out that the governments underwhelms Martin.,Janice discovers who the actors find out that the governments underwhelms.,Janice discovers that the actors find out whether the governments underwhelms Martin.,Anna had found out that most guys boycotted these universities after scaring Katherine.,Anna had found out what most guys boycotted after scaring Katherine.,Anna had found out that most guys met after scaring Katherine boycotted these universities.,Anna had found out what most guys met after scaring Katherine boycotted.,Most universities discover that some girl who walked through a closet can't scan all newspaper articles.,Most universities discover what some girl who walked through a closet can't scan.,60
61,Theodore knows that the doctors were bringing every carriage for Wayne.,Theodore knows what the doctors were bringing for Wayne.,Theodore knows what the doctors were bringing every carriage for.,Theodore knows what were bringing every carriage.,Every library hadn't concealed that those governments discover that handymen were confusing this adult.,Every library hadn't concealed who those governments discover that handymen were confusing.,Every library hadn't concealed that those governments discover whether handymen were confusing this adult.,Wayne concealed that every driver forgives Teresa without bothering Meredith.,Wayne concealed who every driver forgives without bothering Meredith.,Wayne concealed that every driver stunned without bothering Meredith forgives Teresa.,Wayne concealed who every driver stunned without bothering Meredith forgives.,Diana learns that that dancer who shakes Monica was thinking about a scarf.,Diana learns what that dancer who shakes Monica was thinking about.,61
62,Every podiatrist isn't remembering that most people hired Melanie for Thomas.,Every podiatrist isn't remembering who most people hired for Thomas.,Every podiatrist isn't remembering who most people hired Melanie for.,Every podiatrist isn't remembering who hired Melanie.,Rose shouldn't learn that Kevin might discover that the offspring hear Tamara.,Rose shouldn't learn who Kevin might discover that the offspring hear.,Rose shouldn't learn that Kevin might discover whether the offspring hear Tamara.,Mary knows that an association worries Marcus while hiring Alan.,Mary knows who an association worries while hiring Alan.,Mary knows that an association refused while hiring Alan worries Marcus.,Mary knows who an association refused while hiring Alan worries.,Danielle knows that that French teacher who sank most canoes has distracted Kimberley.,Danielle knows who that French teacher who sank most canoes has distracted.,62
63,The organizations discover that the beers overwhelm Kimberley with some guest.,The organizations discover who the beers overwhelm with some guest.,The organizations discover who the beers overwhelm Kimberley with.,The organizations discover who overwhelm Kimberley.,Most associates learned that Tracy conceals that that customer can't drive those carriages.,Most associates learned what Tracy conceals that that customer can't drive.,Most associates learned that Tracy conceals whether that customer can't drive those carriages.,Sheila will realize that some oncologists were singing many melodies before researching some opera.,Sheila will realize what some oncologists were singing before researching some opera.,Sheila will realize that some oncologists condensed before researching some opera were singing many melodies.,Sheila will realize what some oncologists condensed before researching some opera were singing.,A lot of boys remember that that guest who isn't hearing Kendra isn't hindering Walter.,A lot of boys remember who that guest who isn't hearing Kendra isn't hindering.,63
64,All doctors find out that these tutors light most lights for Debra.,All doctors find out what these tutors light for Debra.,All doctors find out what these tutors light most lights for.,All doctors find out what light most lights.,The Impressionists investigate that Sarah finds out that a person aggravate Kendra.,The Impressionists investigate who Sarah finds out that a person aggravate.,The Impressionists investigate that Sarah finds out whether a person aggravate Kendra.,Eva discovers that the associate researched the cafes before going to the grocery store.,Eva discovers what the associate researched before going to the grocery store.,Eva discovers that the associate soaked before going to the grocery store researched the cafes.,Eva discovers what the associate soaked before going to the grocery store researched.,Joseph concealed that many doctors who shock that association appreciate a grocery store.,Joseph concealed what many doctors who shock that association appreciate.,64
