,adj_that,adj_wh,adj_subj_that,adj_subj_wh,pairID,,,,,,,,,,,,,,,,,,,,
239,Chad hadn't learned that all movies sound like a lot of waitresses while alarming Larry.,Chad hadn't learned who all movies sound like while alarming Larry.,Chad hadn't learned that all movies disagreed with while alarming Larry sound like a lot of waitresses.,Chad hadn't learned who all movies disagreed with while alarming Larry sound like.,239,,,,,,,,,,,,,,,,,,,,
240,Every doctor remembers that the doctor would underwhelm Julie while complaining about Kenneth.,Every doctor remembers who the doctor would underwhelm while complaining about Kenneth.,Every doctor remembers that the doctor caught while complaining about Kenneth would underwhelm Julie.,Every doctor remembers who the doctor caught while complaining about Kenneth would underwhelm.,240,,,,,,,,,,,,,,,,,,,,
241,All companies were figuring out that every waiter embarrassed Rodney before appreciating Stacey.,All companies were figuring out who every waiter embarrassed before appreciating Stacey.,All companies were figuring out that every waiter awakened before appreciating Stacey embarrassed Rodney.,All companies were figuring out who every waiter awakened before appreciating Stacey embarrassed.,241,,,,,,,,,,,,,,,,,,,,
242,Every doctor learned that some actor wasn't striking Chad after stunning most universities.,Every doctor learned who some actor wasn't striking after stunning most universities.,Every doctor learned that some actor obligated after stunning most universities wasn't striking Chad.,Every doctor learned who some actor obligated after stunning most universities wasn't striking.,242,,,,,,,,,,,,,,,,,,,,
243,Jeffrey hasn't discovered that the girl likes all trucks while keeping a lot of college campuses.,Jeffrey hasn't discovered what the girl likes while keeping a lot of college campuses.,Jeffrey hasn't discovered that the girl grown while keeping a lot of college campuses likes all trucks.,Jeffrey hasn't discovered what the girl grown while keeping a lot of college campuses likes.,243,,,,,,,,,,,,,,,,,,,,
244,Raymond figures out that every ship aggravated that driver while distracting Andrea.,Raymond figures out who every ship aggravated while distracting Andrea.,Raymond figures out that every ship stolen while distracting Andrea aggravated that driver.,Raymond figures out who every ship stolen while distracting Andrea aggravated.,244,,,,,,,,,,,,,,,,,,,,
245,David revealed that the bird annoys most guys while worrying Vincent.,David revealed who the bird annoys while worrying Vincent.,David revealed that the bird telephoned while worrying Vincent annoys most guys.,David revealed who the bird telephoned while worrying Vincent annoys.,245,,,,,,,,,,,,,,,,,,,,
246,Jodi could learn that these waiters research a song while choosing all bicycles.,Jodi could learn what these waiters research while choosing all bicycles.,Jodi could learn that these waiters benefited while choosing all bicycles research a song.,Jodi could learn what these waiters benefited while choosing all bicycles research.,246,,,,,,,,,,,,,,,,,,,,
247,Alan was realizing that the child got some plane without bringing a rabbit.,Alan was realizing what the child got without bringing a rabbit.,Alan was realizing that the child approached without bringing a rabbit got some plane.,Alan was realizing what the child approached without bringing a rabbit got.,247,,,,,,,,,,,,,,,,,,,,
248,Irene realizes that a person could tear this dress before concealing David.,Irene realizes what a person could tear before concealing David.,Irene realizes that a person appeared before concealing David could tear this dress.,Irene realizes what a person appeared before concealing David could tear.,248,,,,,,,,,,,,,,,,,,,,
249,Beth concealed that that waitress overwhelms Douglas before talking to Noah.,Beth concealed who that waitress overwhelms before talking to Noah.,Beth concealed that that waitress found before talking to Noah overwhelms Douglas.,Beth concealed who that waitress found before talking to Noah overwhelms.,249,,,,,,,,,,,,,,,,,,,,
250,Brett could know that some person will research that mountain without insulting Elaine.,Brett could know what some person will research without insulting Elaine.,Brett could know that some person smiled without insulting Elaine will research that mountain.,Brett could know what some person smiled without insulting Elaine will research.,250,,,,,,,,,,,,,,,,,,,,
251,Janet remembered that most partners hated those dogs without selling that hill.,Janet remembered what most partners hated without selling that hill.,Janet remembered that most partners drunk without selling that hill hated those dogs.,Janet remembered what most partners drunk without selling that hill hated.,251,,,,,,,,,,,,,,,,,,,,
252,Every customer found out that these men climbed down the ladder after ascending a lot of hills.,Every customer found out what these men climbed down after ascending a lot of hills.,Every customer found out that these men yawned after ascending a lot of hills climbed down the ladder.,Every customer found out what these men yawned after ascending a lot of hills climbed down.,252,,,,,,,,,,,,,,,,,,,,
253,Eva should remember that those oncologists weren't researching every song while appreciating Judy.,Eva should remember what those oncologists weren't researching while appreciating Judy.,Eva should remember that those oncologists dropped while appreciating Judy weren't researching every song.,Eva should remember what those oncologists dropped while appreciating Judy weren't researching.,253,,,,,,,,,,,,,,,,,,,,
254,These piano teachers had concealed that those books hindered Lawrence without boring Bruce.,These piano teachers had concealed who those books hindered without boring Bruce.,These piano teachers had concealed that those books forgotten without boring Bruce hindered Lawrence.,These piano teachers had concealed who those books forgotten without boring Bruce hindered.,254,,,,,,,,,,,,,,,,,,,,
255,These legislatures learn that handymen throw that dish without messing up the libraries.,These legislatures learn what handymen throw without messing up the libraries.,These legislatures learn that handymen twisted without messing up the libraries throw that dish.,These legislatures learn what handymen twisted without messing up the libraries throw.,255,,,,,,,,,,,,,,,,,,,,
256,Larry remembered that some actor wasn't appreciating the Impressionists after leaving James.,Larry remembered who some actor wasn't appreciating after leaving James.,Larry remembered that some actor remembered after leaving James wasn't appreciating the Impressionists.,Larry remembered who some actor remembered after leaving James wasn't appreciating.,256,,,,,,,,,,,,,,,,,,,,
257,Todd discovers that some podiatrists threw that cart while noticing Kathleen.,Todd discovers what some podiatrists threw while noticing Kathleen.,Todd discovers that some podiatrists struggled while noticing Kathleen threw that cart.,Todd discovers what some podiatrists struggled while noticing Kathleen threw.,257,,,,,,,,,,,,,,,,,,,,
258,Many banks remember that those teenagers have made a raft after taking those stairs.,Many banks remember what those teenagers have made after taking those stairs.,Many banks remember that those teenagers impressed after taking those stairs have made a raft.,Many banks remember what those teenagers impressed after taking those stairs have made.,258,,,,,,,,,,,,,,,,,,,,
259,Jane did figure out that that piano teacher hasn't built these restaurants while fleeing from the podiatrist.,Jane did figure out what that piano teacher hasn't built while fleeing from the podiatrist.,Jane did figure out that that piano teacher written while fleeing from the podiatrist hasn't built these restaurants.,Jane did figure out what that piano teacher written while fleeing from the podiatrist hasn't built.,259,,,,,,,,,,,,,,,,,,,,
260,An associate revealed that most French teachers have appreciated these art galleries without exposing this plane.,An associate revealed what most French teachers have appreciated without exposing this plane.,An associate revealed that most French teachers shrunk without exposing this plane have appreciated these art galleries.,An associate revealed what most French teachers shrunk without exposing this plane have appreciated.,260,,,,,,,,,,,,,,,,,,,,
261,The Clintons discovered that a lot of hats harm Richard after disturbing these oncologists.,The Clintons discovered who a lot of hats harm after disturbing these oncologists.,The Clintons discovered that a lot of hats surrendered after disturbing these oncologists harm Richard.,The Clintons discovered who a lot of hats surrendered after disturbing these oncologists harm.,261,,,,,,,,,,,,,,,,,,,,
262,Todd realizes that this woman thinks about Irene without praising Linda.,Todd realizes who this woman thinks about without praising Linda.,Todd realizes that this woman lost without praising Linda thinks about Irene.,Todd realizes who this woman lost without praising Linda thinks about.,262,,,,,,,,,,,,,,,,,,,,
263,Wendy hasn't found out that a doctor has discovered a lot of guests before leaving that woman.,Wendy hasn't found out who a doctor has discovered before leaving that woman.,Wendy hasn't found out that a doctor painted before leaving that woman has discovered a lot of guests.,Wendy hasn't found out who a doctor painted before leaving that woman has discovered.,263,,,,,,,,,,,,,,,,,,,,
264,Elaine knew that this woman does exit some lakes after leaving Patricia.,Elaine knew what this woman does exit after leaving Patricia.,Elaine knew that this woman insulted after leaving Patricia does exit some lakes.,Elaine knew what this woman insulted after leaving Patricia does exit.,264,,,,,,,,,,,,,,,,,,,,
265,Kristen reveals that every child was walking through those grocery stores without bringing these slopes.,Kristen reveals what every child was walking through without bringing these slopes.,Kristen reveals that every child scared without bringing these slopes was walking through those grocery stores.,Kristen reveals what every child scared without bringing these slopes was walking through.,265,,,,,,,,,,,,,,,,,,,,
266,Brad isn't discovering that most teenagers lose Dan while meeting Carlos.,Brad isn't discovering who most teenagers lose while meeting Carlos.,Brad isn't discovering that most teenagers appreciated while meeting Carlos lose Dan.,Brad isn't discovering who most teenagers appreciated while meeting Carlos lose.,266,,,,,,,,,,,,,,,,,,,,
267,Alice can't discover that these hospitals fight Adam after forgiving a lot of students.,Alice can't discover who these hospitals fight after forgiving a lot of students.,Alice can't discover that these hospitals woken up after forgiving a lot of students fight Adam.,Alice can't discover who these hospitals woken up after forgiving a lot of students fight.,267,,,,,,,,,,,,,,,,,,,,
268,A lot of associations don't realize that some waitress was hugging Susan while curing Donald.,A lot of associations don't realize who some waitress was hugging while curing Donald.,A lot of associations don't realize that some waitress talked while curing Donald was hugging Susan.,A lot of associations don't realize who some waitress talked while curing Donald was hugging.,268,,,,,,,,,,,,,,,,,,,,
269,Russell learns that a lot of essays confuse most podiatrists while stunning those teenagers.,Russell learns who a lot of essays confuse while stunning those teenagers.,Russell learns that a lot of essays spun around while stunning those teenagers confuse most podiatrists.,Russell learns who a lot of essays spun around while stunning those teenagers confuse.,269,,,,,,,,,,,,,,,,,,,,
270,Most senators won't conceal that those eyes disgusted an electrician without distracting those teachers.,Most senators won't conceal who those eyes disgusted without distracting those teachers.,Most senators won't conceal that those eyes determined without distracting those teachers disgusted an electrician.,Most senators won't conceal who those eyes determined without distracting those teachers disgusted.,270,,,,,,,,,,,,,,,,,,,,
271,Derek found out that an electrician boasted about those essays without scanning all newspaper articles.,Derek found out what an electrician boasted about without scanning all newspaper articles.,Derek found out that an electrician shot without scanning all newspaper articles boasted about those essays.,Derek found out what an electrician shot without scanning all newspaper articles boasted about.,271,,,,,,,,,,,,,,,,,,,,
272,These associates did discover that some doctor wasn't boasting about Renee while criticizing that play.,These associates did discover who some doctor wasn't boasting about while criticizing that play.,These associates did discover that some doctor disagreed with while criticizing that play wasn't boasting about Renee.,These associates did discover who some doctor disagreed with while criticizing that play wasn't boasting about.,272,,,,,,,,,,,,,,,,,,,,
273,These dentists reveal that some boy looked like every print before finding Teresa.,These dentists reveal what some boy looked like before finding Teresa.,These dentists reveal that some boy believed before finding Teresa looked like every print.,These dentists reveal what some boy believed before finding Teresa looked like.,273,,,,,,,,,,,,,,,,,,,,
274,Scott might remember that this hairdresser isn't lifting a lot of lakes before boycotting a hill.,Scott might remember what this hairdresser isn't lifting before boycotting a hill.,Scott might remember that this hairdresser melted before boycotting a hill isn't lifting a lot of lakes.,Scott might remember what this hairdresser melted before boycotting a hill isn't lifting.,274,,,,,,,,,,,,,,,,,,,,
275,Sarah knew that every girl sings arias before complaining about Samuel.,Sarah knew what every girl sings before complaining about Samuel.,Sarah knew that every girl hidden away before complaining about Samuel sings arias.,Sarah knew what every girl hidden away before complaining about Samuel sings.,275,,,,,,,,,,,,,,,,,,,,
276,These guests figured out that the museum wouldn't sell malls after admiring all coats.,These guests figured out what the museum wouldn't sell after admiring all coats.,These guests figured out that the museum shrunk after admiring all coats wouldn't sell malls.,These guests figured out what the museum shrunk after admiring all coats wouldn't sell.,276,,,,,,,,,,,,,,,,,,,,
277,Renee remembered that all drawings can look like the Impressionists without astounding Sarah.,Renee remembered who all drawings can look like without astounding Sarah.,Renee remembered that all drawings melted without astounding Sarah can look like the Impressionists.,Renee remembered who all drawings melted without astounding Sarah can look like.,277,,,,,,,,,,,,,,,,,,,,
278,Those piano teachers forget that that actress doesn't buy every projector without discovering Mary.,Those piano teachers forget what that actress doesn't buy without discovering Mary.,Those piano teachers forget that that actress come without discovering Mary doesn't buy every projector.,Those piano teachers forget what that actress come without discovering Mary doesn't buy.,278,,,,,,,,,,,,,,,,,,,,
279,Every museum investigated that that lawyer had worn the shoe while lifting the college campus.,Every museum investigated what that lawyer had worn while lifting the college campus.,Every museum investigated that that lawyer distracted while lifting the college campus had worn the shoe.,Every museum investigated what that lawyer distracted while lifting the college campus had worn.,279,,,,,,,,,,,,,,,,,,,,
280,These legislatures remembered that French teachers thought about every contractor without drawing a computer.,These legislatures remembered who French teachers thought about without drawing a computer.,These legislatures remembered that French teachers studied without drawing a computer thought about every contractor.,These legislatures remembered who French teachers studied without drawing a computer thought about.,280,,,,,,,,,,,,,,,,,,,,
281,That museum isn't revealing that this dancer wouldn't hold Catherine after shaking some canoe.,That museum isn't revealing who this dancer wouldn't hold after shaking some canoe.,That museum isn't revealing that this dancer dropped after shaking some canoe wouldn't hold Catherine.,That museum isn't revealing who this dancer dropped after shaking some canoe wouldn't hold.,281,,,,,,,,,,,,,,,,,,,,
282,This pedestrian didn't realize that all doctors steal many glasses without drawing Nina.,This pedestrian didn't realize what all doctors steal without drawing Nina.,This pedestrian didn't realize that all doctors whispered without drawing Nina steal many glasses.,This pedestrian didn't realize what all doctors whispered without drawing Nina steal.,282,,,,,,,,,,,,,,,,,,,,
283,The actresses investigate that all doctors hug Jesus after impressing Veronica.,The actresses investigate who all doctors hug after impressing Veronica.,The actresses investigate that all doctors disappeared after impressing Veronica hug Jesus.,The actresses investigate who all doctors disappeared after impressing Veronica hug.,283,,,,,,,,,,,,,,,,,,,,
284,Some committees realize that that guy will approach these drivers without teaching Dan.,Some committees realize who that guy will approach without teaching Dan.,Some committees realize that that guy fired without teaching Dan will approach these drivers.,Some committees realize who that guy fired without teaching Dan will approach.,284,,,,,,,,,,,,,,,,,,,,
285,Elizabeth was discovering that that electrician isn't curing Judy before visiting some actress.,Elizabeth was discovering who that electrician isn't curing before visiting some actress.,Elizabeth was discovering that that electrician fired before visiting some actress isn't curing Judy.,Elizabeth was discovering who that electrician fired before visiting some actress isn't curing.,285,,,,,,,,,,,,,,,,,,,,
286,Some organization remembers that the teenagers liked every man after fighting some guest.,Some organization remembers who the teenagers liked after fighting some guest.,Some organization remembers that the teenagers hidden after fighting some guest liked every man.,Some organization remembers who the teenagers hidden after fighting some guest liked.,286,,,,,,,,,,,,,,,,,,,,
287,Naomi hadn't learned that many screens embarrass this senator while disgusting Caroline.,Naomi hadn't learned who many screens embarrass while disgusting Caroline.,Naomi hadn't learned that many screens vaporized while disgusting Caroline embarrass this senator.,Naomi hadn't learned who many screens vaporized while disgusting Caroline embarrass.,287,,,,,,,,,,,,,,,,,,,,
288,Many people find out that some waitresses do hide every French teacher without hurting Tamara.,Many people find out who some waitresses do hide without hurting Tamara.,Many people find out that some waitresses prodded without hurting Tamara do hide every French teacher.,Many people find out who some waitresses prodded without hurting Tamara do hide.,288,,,,,,,,,,,,,,,,,,,,
289,Raymond realized that the senators bend all cars after repairing many chairs.,Raymond realized what the senators bend after repairing many chairs.,Raymond realized that the senators benefited after repairing many chairs bend all cars.,Raymond realized what the senators benefited after repairing many chairs bend.,289,,,,,,,,,,,,,,,,,,,,
290,This lady is learning that that essay shocked most schools without alarming some hospitals.,This lady is learning what that essay shocked without alarming some hospitals.,This lady is learning that that essay yawned without alarming some hospitals shocked most schools.,This lady is learning what that essay yawned without alarming some hospitals shocked.,290,,,,,,,,,,,,,,,,,,,,
291,Suzanne hasn't remembered that some associates freeze some lakes before running around a lot of banks.,Suzanne hasn't remembered what some associates freeze before running around a lot of banks.,Suzanne hasn't remembered that some associates concurred before running around a lot of banks freeze some lakes.,Suzanne hasn't remembered what some associates concurred before running around a lot of banks freeze.,291,,,,,,,,,,,,,,,,,,,,
292,Tutors remember that this museum dislikes a lot of lights without buying a lot of turtles.,Tutors remember what this museum dislikes without buying a lot of turtles.,Tutors remember that this museum lost without buying a lot of turtles dislikes a lot of lights.,Tutors remember what this museum lost without buying a lot of turtles dislikes.,292,,,,,,,,,,,,,,,,,,,,
293,All electricians remember that many teenagers aren't healing the dancer while drawing Cheryl.,All electricians remember who many teenagers aren't healing while drawing Cheryl.,All electricians remember that many teenagers liquefied while drawing Cheryl aren't healing the dancer.,All electricians remember who many teenagers liquefied while drawing Cheryl aren't healing.,293,,,,,,,,,,,,,,,,,,,,
294,All actresses found out that this boy bought some pie without exposing Holly.,All actresses found out what this boy bought without exposing Holly.,All actresses found out that this boy disliked without exposing Holly bought some pie.,All actresses found out what this boy disliked without exposing Holly bought.,294,,,,,,,,,,,,,,,,,,,,
295,Timothy might discover that all libraries fight Bethany before bothering Suzanne.,Timothy might discover who all libraries fight before bothering Suzanne.,Timothy might discover that all libraries sped up before bothering Suzanne fight Bethany.,Timothy might discover who all libraries sped up before bothering Suzanne fight.,295,,,,,,,,,,,,,,,,,,,,
296,The girl hasn't known that every oncologist wasn't underwhelming Bill without shaking Valerie.,The girl hasn't known who every oncologist wasn't underwhelming without shaking Valerie.,The girl hasn't known that every oncologist fired without shaking Valerie wasn't underwhelming Bill.,The girl hasn't known who every oncologist fired without shaking Valerie wasn't underwhelming.,296,,,,,,,,,,,,,,,,,,,,
297,Ruth knows that dentists haven't frozen the juice before keeping this bank.,Ruth knows what dentists haven't frozen before keeping this bank.,Ruth knows that dentists blackened before keeping this bank haven't frozen the juice.,Ruth knows what dentists blackened before keeping this bank haven't frozen.,297,,,,,,,,,,,,,,,,,,,,
298,Tiffany is learning that a customer has appreciated the teenagers while helping the association.,Tiffany is learning who a customer has appreciated while helping the association.,Tiffany is learning that a customer motivated while helping the association has appreciated the teenagers.,Tiffany is learning who a customer motivated while helping the association has appreciated.,298,,,,,,,,,,,,,,,,,,,,
299,Joel investigated that every senator resembles some print while revealing a lot of steps.,Joel investigated what every senator resembles while revealing a lot of steps.,Joel investigated that every senator compromised while revealing a lot of steps resembles some print.,Joel investigated what every senator compromised while revealing a lot of steps resembles.,299,,,,,,,,,,,,,,,,,,,,
300,Stephen discovered that those commentaries weren't hindering Scott before disturbing Diane.,Stephen discovered who those commentaries weren't hindering before disturbing Diane.,Stephen discovered that those commentaries exercised before disturbing Diane weren't hindering Scott.,Stephen discovered who those commentaries exercised before disturbing Diane weren't hindering.,300,,,,,,,,,,,,,,,,,,,,
301,Those men haven't known that a waitress builds art galleries after choosing Stephen.,Those men haven't known what a waitress builds after choosing Stephen.,Those men haven't known that a waitress judged after choosing Stephen builds art galleries.,Those men haven't known what a waitress judged after choosing Stephen builds.,301,,,,,,,,,,,,,,,,,,,,
302,Samuel will know that a lot of French teachers were getting the mirror after choosing Raymond.,Samuel will know what a lot of French teachers were getting after choosing Raymond.,Samuel will know that a lot of French teachers wrinkled after choosing Raymond were getting the mirror.,Samuel will know what a lot of French teachers wrinkled after choosing Raymond were getting.,302,,,,,,,,,,,,,,,,,,,,
303,Craig has realized that these offspring arrive at many art galleries after visiting Roger.,Craig has realized what these offspring arrive at after visiting Roger.,Craig has realized that these offspring sighed after visiting Roger arrive at many art galleries.,Craig has realized what these offspring sighed after visiting Roger arrive at.,303,,,,,,,,,,,,,,,,,,,,
304,Some dentist hasn't forgotten that most committees forget Vanessa without boring Amanda.,Some dentist hasn't forgotten who most committees forget without boring Amanda.,Some dentist hasn't forgotten that most committees saluted without boring Amanda forget Vanessa.,Some dentist hasn't forgotten who most committees saluted without boring Amanda forget.,304,,,,,,,,,,,,,,,,,,,,
305,Maria will conceal that those French teachers are underwhelming Nancy while discussing Teresa.,Maria will conceal who those French teachers are underwhelming while discussing Teresa.,Maria will conceal that those French teachers needed while discussing Teresa are underwhelming Nancy.,Maria will conceal who those French teachers needed while discussing Teresa are underwhelming.,305,,,,,,,,,,,,,,,,,,,,
306,An associate investigated that most adults ascend every slope before purchasing many eyes.,An associate investigated what most adults ascend before purchasing many eyes.,An associate investigated that most adults underwhelmed before purchasing many eyes ascend every slope.,An associate investigated what most adults underwhelmed before purchasing many eyes ascend.,306,,,,,,,,,,,,,,,,,,,,
307,Pamela won't discover that this man is harming Randolf without leaving waiters.,Pamela won't discover who this man is harming without leaving waiters.,Pamela won't discover that this man burned without leaving waiters is harming Randolf.,Pamela won't discover who this man burned without leaving waiters is harming.,307,,,,,,,,,,,,,,,,,,,,
308,Some senator discovers that every offspring had hidden that ice while admiring some jackets.,Some senator discovers what every offspring had hidden while admiring some jackets.,Some senator discovers that every offspring dared while admiring some jackets had hidden that ice.,Some senator discovers what every offspring dared while admiring some jackets had hidden.,308,,,,,,,,,,,,,,,,,,,,
309,Senators reveal that every hairdresser threw most canoes before exposing some pasta.,Senators reveal what every hairdresser threw before exposing some pasta.,Senators reveal that every hairdresser required before exposing some pasta threw most canoes.,Senators reveal what every hairdresser required before exposing some pasta threw.,309,,,,,,,,,,,,,,,,,,,,
310,The doctors weren't concealing that those committees remembered Bill after stunning Jill.,The doctors weren't concealing who those committees remembered after stunning Jill.,The doctors weren't concealing that those committees brightened after stunning Jill remembered Bill.,The doctors weren't concealing who those committees brightened after stunning Jill remembered.,310,,,,,,,,,,,,,,,,,,,,
311,Dan discovers that a room shocked Jill after aiding Bethany.,Dan discovers who a room shocked after aiding Bethany.,Dan discovers that a room hidden away after aiding Bethany shocked Jill.,Dan discovers who a room hidden away after aiding Bethany shocked.,311,,,,,,,,,,,,,,,,,,,,
312,Jill hadn't discovered that the oncologist attacked Walter without hiring most French teachers.,Jill hadn't discovered who the oncologist attacked without hiring most French teachers.,Jill hadn't discovered that the oncologist gotten a job without hiring most French teachers attacked Walter.,Jill hadn't discovered who the oncologist gotten a job without hiring most French teachers attacked.,312,,,,,,,,,,,,,,,,,,,,
313,Every patient would remember that the electrician passed a high school without appreciating the Impressionists.,Every patient would remember what the electrician passed without appreciating the Impressionists.,Every patient would remember that the electrician hurt without appreciating the Impressionists passed a high school.,Every patient would remember what the electrician hurt without appreciating the Impressionists passed.,313,,,,,,,,,,,,,,,,,,,,
314,The library is learning that most people aren't bending that plate after getting that plane.,The library is learning what most people aren't bending after getting that plane.,The library is learning that most people commanded after getting that plane aren't bending that plate.,The library is learning what most people commanded after getting that plane aren't bending.,314,,,,,,,,,,,,,,,,,,,,
315,Mark reveals that the donation had underwhelmed Patrick while confusing Naomi.,Mark reveals who the donation had underwhelmed while confusing Naomi.,Mark reveals that the donation shouted while confusing Naomi had underwhelmed Patrick.,Mark reveals who the donation shouted while confusing Naomi had underwhelmed.,315,,,,,,,,,,,,,,,,,,,,
316,Paul can't forget that every person went to all glaciers after returning to this waiter.,Paul can't forget what every person went to after returning to this waiter.,Paul can't forget that every person cracked after returning to this waiter went to all glaciers.,Paul can't forget what every person cracked after returning to this waiter went to.,316,,,,,,,,,,,,,,,,,,,,
317,Vincent wasn't figuring out that some child overwhelms these dentists while watching some girls.,Vincent wasn't figuring out who some child overwhelms while watching some girls.,Vincent wasn't figuring out that some child sounded like while watching some girls overwhelms these dentists.,Vincent wasn't figuring out who some child sounded like while watching some girls overwhelms.,317,,,,,,,,,,,,,,,,,,,,
318,These lawyers have known that this blouse alarms most universities while impressing Bruce.,These lawyers have known what this blouse alarms while impressing Bruce.,These lawyers have known that this blouse swallowed while impressing Bruce alarms most universities.,These lawyers have known what this blouse swallowed while impressing Bruce alarms.,318,,,,,,,,,,,,,,,,,,,,
319,Julie was learning that partners meet Jodi while confusing Laura.,Julie was learning who partners meet while confusing Laura.,Julie was learning that partners hired while confusing Laura meet Jodi.,Julie was learning who partners hired while confusing Laura meet.,319,,,,,,,,,,,,,,,,,,,,
320,A guest investigated that this tutor cured the piano teachers before meeting Diana.,A guest investigated who this tutor cured before meeting Diana.,A guest investigated that this tutor vaporized before meeting Diana cured the piano teachers.,A guest investigated who this tutor vaporized before meeting Diana cured.,320,,,,,,,,,,,,,,,,,,,,
321,Those customers figure out that the electrician keeps every sweater while selling those boxes.,Those customers figure out what the electrician keeps while selling those boxes.,Those customers figure out that the electrician appeared while selling those boxes keeps every sweater.,Those customers figure out what the electrician appeared while selling those boxes keeps.,321,,,,,,,,,,,,,,,,,,,,
322,Bradley didn't know that a lot of floors bothered Connie while harming these dancers.,Bradley didn't know who a lot of floors bothered while harming these dancers.,Bradley didn't know that a lot of floors discovered while harming these dancers bothered Connie.,Bradley didn't know who a lot of floors discovered while harming these dancers bothered.,322,,,,,,,,,,,,,,,,,,,,
323,Pamela isn't forgetting that these restaurants disturb many girls before underwhelming these waitresses.,Pamela isn't forgetting who these restaurants disturb before underwhelming these waitresses.,Pamela isn't forgetting that these restaurants murmured before underwhelming these waitresses disturb many girls.,Pamela isn't forgetting who these restaurants murmured before underwhelming these waitresses disturb.,323,,,,,,,,,,,,,,,,,,,,
324,Ellen hasn't known that many actors had distracted a partner while helping Stacy.,Ellen hasn't known who many actors had distracted while helping Stacy.,Ellen hasn't known that many actors chosen while helping Stacy had distracted a partner.,Ellen hasn't known who many actors chosen while helping Stacy had distracted.,324,,,,,,,,,,,,,,,,,,,,
325,Guests remembered that the patient hadn't struck Rebecca before concealing most tomatoes.,Guests remembered who the patient hadn't struck before concealing most tomatoes.,Guests remembered that the patient folded before concealing most tomatoes hadn't struck Rebecca.,Guests remembered who the patient folded before concealing most tomatoes hadn't struck.,325,,,,,,,,,,,,,,,,,,,,
326,Tara might know that that electrician is boycotting the Clintons after researching the Great Lakes.,Tara might know who that electrician is boycotting after researching the Great Lakes.,Tara might know that that electrician forfeited after researching the Great Lakes is boycotting the Clintons.,Tara might know who that electrician forfeited after researching the Great Lakes is boycotting.,326,,,,,,,,,,,,,,,,,,,,
327,John hasn't realized that every glass might distract Lawrence while distracting this guest.,John hasn't realized who every glass might distract while distracting this guest.,John hasn't realized that every glass bought while distracting this guest might distract Lawrence.,John hasn't realized who every glass bought while distracting this guest might distract.,327,,,,,,,,,,,,,,,,,,,,
328,Some children are realizing that some committees hire Kathleen without firing Jerry.,Some children are realizing who some committees hire without firing Jerry.,Some children are realizing that some committees overwhelmed without firing Jerry hire Kathleen.,Some children are realizing who some committees overwhelmed without firing Jerry hire.,328,,,,,,,,,,,,,,,,,,,,
329,Galileo is forgetting that the contractors shouldn't question many students without visiting Andrea.,Galileo is forgetting who the contractors shouldn't question without visiting Andrea.,Galileo is forgetting that the contractors changed without visiting Andrea shouldn't question many students.,Galileo is forgetting who the contractors changed without visiting Andrea shouldn't question.,329,,,,,,,,,,,,,,,,,,,,
330,Vanessa could remember that this girl had torn a shirt before admiring this coffee.,Vanessa could remember what this girl had torn before admiring this coffee.,Vanessa could remember that this girl worked hard before admiring this coffee had torn a shirt.,Vanessa could remember what this girl worked hard before admiring this coffee had torn.,330,,,,,,,,,,,,,,,,,,,,
331,Grace is finding out that the fish aggravates that French teacher after shocking Bruce.,Grace is finding out who the fish aggravates after shocking Bruce.,Grace is finding out that the fish disliked after shocking Bruce aggravates that French teacher.,Grace is finding out who the fish disliked after shocking Bruce aggravates.,331,,,,,,,,,,,,,,,,,,,,
332,Brenda conceals that a lot of adults love Carol after embarrassing a senator.,Brenda conceals who a lot of adults love after embarrassing a senator.,Brenda conceals that a lot of adults sat down after embarrassing a senator love Carol.,Brenda conceals who a lot of adults sat down after embarrassing a senator love.,332,,,,,,,,,,,,,,,,,,,,
333,That person figured out that that committee hadn't forgotten Theodore without aggravating Dennis.,That person figured out who that committee hadn't forgotten without aggravating Dennis.,That person figured out that that committee stunned without aggravating Dennis hadn't forgotten Theodore.,That person figured out who that committee stunned without aggravating Dennis hadn't forgotten.,333,,,,,,,,,,,,,,,,,,,,
334,Diana hasn't investigated that that piano teacher hated Valerie without criticizing Gregory.,Diana hasn't investigated who that piano teacher hated without criticizing Gregory.,Diana hasn't investigated that that piano teacher returned to without criticizing Gregory hated Valerie.,Diana hasn't investigated who that piano teacher returned to without criticizing Gregory hated.,334,,,,,,,,,,,,,,,,,,,,
335,A lot of museums find out that some dentist sinks this canoe without concealing Renee.,A lot of museums find out what some dentist sinks without concealing Renee.,A lot of museums find out that some dentist worked hard without concealing Renee sinks this canoe.,A lot of museums find out what some dentist worked hard without concealing Renee sinks.,335,,,,,,,,,,,,,,,,,,,,
336,Bill has remembered that the governments are stunning John before aiding Melissa.,Bill has remembered who the governments are stunning before aiding Melissa.,Bill has remembered that the governments conferred before aiding Melissa are stunning John.,Bill has remembered who the governments conferred before aiding Melissa are stunning.,336,,,,,,,,,,,,,,,,,,,,
337,That legislature had discovered that the alumnus skated around all public parks without cleaning most chairs.,That legislature had discovered what the alumnus skated around without cleaning most chairs.,That legislature had discovered that the alumnus folded without cleaning most chairs skated around all public parks.,That legislature had discovered what the alumnus folded without cleaning most chairs skated around.,337,,,,,,,,,,,,,,,,,,,,
