id,full_paragraph
cp14_48," Someone laughed . George walked steadily ahead into his entry . His bandages seemed on fire . He had shut his door with the brass number screwed to it . In the kitchenette the raw whiskey made him gasp . Just one or two swallows , he told himself , enough to lessen some of the pain ."
cb12_17," They enlisted the help of the New Jersey congressman , who has been able to trace the letters to the national archives , where they are available on microfilm ."
cj11_2," Let us speculate a little on the maximum size of the anaconda . If , in a certain part of the range , it starts life 1 foot longer than do any of the other ( relatively large ) giants , and reaches maturity at , let us guess , 18 inches longer than the others , a quadrupling of the maturity length would result in a maximum of ( nearly ) 40 feet ."
cj11_4," I cannot make sense out of the figures for post maturity growth ; ; at best the annual increase appears to be a matter of inches rather than feet . Until better records have been kept over longer periods of time and much more is known about the maximum dimensions , it will be wise to refrain from drawing conclusions ."
cb15_27, Words cannot tell of the undivided attention and comfort their service gave to me . The concern they felt for me was such as I shall never forget and for which I will always be grateful .
cb15_38," We veterans acknowledge the fact that as time passes the demand for medical care at VA hospitals will grow proportionately as age fosters illness . Nevertheless , we wonder at the stand of the A.M.A. on the health problem confronting the aged . They opposed the Forand bill , which would have placed the major burden of financial support upon the individual himself through compulsory payroll deduction ; ; yet they supported the Eisenhower administration which will cost a small state like ours approximately five million dollars ( matched incidentally by a federal grant ) to initiate ."
ch24_1," If the last day ( due date ) for performing any act for tax purposes , such as filing a return or making a tax payment , etc. , falls on Saturday , Sunday , or a legal holiday , you may perform that act on the next succeeding day which is not a Saturday , Sunday , or legal holiday . Since April 15 , 1962 , is on Sunday your return for the calendar year 1961 will be timely filed if it is filed on or before Monday , April 16 , 1962 ."
ch24_7," The return for a decedent may also serve as a claim for refund of an overpayment of tax . In such a case , Form 1310 should be completed and attached to the return . This form may be obtained from the local office of your district director ."
ch24_18," If you file Form 1040A and the District Director computes your tax , any refund to which you are entitled will be mailed to you ."
cj16_10," Specific staining by DEAE-cellulose treated Af and Af , although clearly distinguishable under the microscope from either nonspecific staining or autofluorescence of cells , was not satisfactorily photographed to show such differences in spite of many attempts with black and white and color photography . This was chiefly because of the bluish white autofluorescence from the cells . The autofluorescence from the walls of the xylem cells was particularly brilliant . Distribution of virus antigen Results of specific staining by the direct and the indirect methods were similar and showed the localization of WTV antigen in certain tissues of tumors . The virus antigen was concentrated in the pseudophloem tissue . Frequently a few isolated thick-walled cells or , rarely , groups of such cells in the xylem region , were also specifically stained , but there was no such staining in epidermis , cortex , most xylem cells , ray cells , or pith ."
ch15_6," Bricks are an alternative . If they are used , the walls and roof should be 10 inches thick to give the same protection as the 8-inch solid concrete blocks ."
ch15_15," Another type of shelter which gives excellent fallout protection can be built as an added room to the basement of a home under construction . It would add about $500 to the total cost of the home . The shelter illustrated in figure 12 is based on such a room built in a new home in the Washington , D.C. area in the Spring of 1959 ."
ch15_25," Lighting is an important consideration . Continuous low-level lighting may be provided in the shelter by means of a 4-cell hot-shot battery to which is wired a 150-milliampere flashlight-type bulb . Tests have shown that such a device , with a fresh battery , will furnish light continuously for at least 10 days . With a spare battery , a source of light for 2 weeks or more would be assured . A flashlight or electric lantern also should be available for those periods when a brighter light is needed . There should be a regular electrical outlet in the shelter as power may continue in many areas ."
ch15_50, A family dwelling without a basement provides some natural shielding from fallout radiation . On the ground floor the radiation would be about half what it is outside . The best protection would be on the ground floor in the central part of the house .
cj73_1," 2-2 . Crystal data organization : The present edition of crystal data was written by J.D.H. Donnay , the Johns Hopkins University , Baltimore , Md. ( Part 2 ) ) and Werner Nowacki , University of Berne , Switzerland ( Part 1 ) ) with the collaboration of Gabrielle Donnay , U. S. Geological Survey , Washington , D. C. . Many collaborators in the United States and Switzerland helped in collecting and assembling data , in making calculations , and in editing . Support came from academic and industrial groups in these two countries . The Geological Society of America gave a grant-in-aid to complete the work and bore the expenses of publication . Preparation of a second edition is in progress under the sponsorship of the Crystal Data Committee of the American Crystallographic Association . Coeditors are J.D.H. Donnay , G. E. Cox of Leeds University , and Olga Kennard of the National Council for Medical Research , London . Financial grants have been received from the National Science Foundation and the ( British ) Institute of Physics for the compilation work and the publication costs . The continuity of the project is suggested by plans for an eventual third edition . Substances : Elements , alloys , inorganic and organic compounds . ( Metal data will not be included in the second edition , since these have been collected independently by W. B. Pearson , National Research Council , Ottawa , and published as A handbook of lattice spacings and structures of metals and alloys by Pergamon Press . ) properties : Crystallographic data resulting mainly from X-ray and electron diffraction measurements are presented . Cell dimensions , number of formula units per cell , space group , and specific gravity are given for all substances . For some substances , auxiliary properties such as the melting point are given . Sources of data : Part 1 , of the present edition covers the literature to mid-1948 ; ; Part 2 , , up to the end of 1951 . Much of the material comes directly from secondary sources such as Strukturbericht . Criticality : The vast number of compounds to be covered , the limited resources to do the job , and the immediate need for this type of compilation precluded a thorough evaluation of all available data in the present edition . Future editions may be more critical . Use of nomenclature , symbols , units , physical constants : Since Parts 1 , and 2 , were prepared independently , the abbreviation schemes and the chemical symbols used differ in the two parts . The second edition should have greater uniformity . Currency : A second edition is in preparation , and there are long range plans for a third . Format : Data in the present edition are presented in tables and lists . Part 1 , deals with the classification of crystalline substances by space groups and is not a numerical data compilation . The compounds are divided according to composition into seven categories . Part 2 , contains determinative tables for the identification of crystalline substances . These are arranged according to crystal system . There are formula and name indexes covering both parts . References for Part 1 , are given at the end and for Part 2 , in the tables . Publication and distribution : The present edition of crystal data ( Af ) , published in 1954 as Memoir 60 of the Geological Society of America , is now out of print . The manuscript of the second edition will probably be ready by the end of 1960 ."
cn28_10, This young slave was therefore quite unprepared when Delphine Lalaurie signaled that she wanted him to draw near . The woman eyed the youth with the avidity a coin collector might display toward a rare doubloon which is not yet in his collection .
cj80_6," It must be noticed in Fig. 7-1 that the accelerometer responds to any input acceleration . The equation relating input acceleration to output platform angle is Af . In practice , the preflight leveling process takes place with the system mounted in the airframe . When the system is arranged for automatic leveling , the platform angles respond to any horizontal components of acceleration acting on the accelerometers . There are many such components of acceleration present due to the effect of wind gusts , engine noise , turbulence around the vehicle , etc. . One of the greatest problems associated with automatic leveling is establishing a true level in the presence of high-level acceleration noise . One solution to the problem is to operate with a low loop gain and to include low-pass filters . This technique causes the system to respond only to low frequency acceleration components such as the platform tilt . Since a lower loop gain and low-pass filtering increases the response time , a practical compromise must be reached ."
cj74_9," For radiosterilization , to destroy all organisms for long-term preservation -- about 4.5 Mrad for nonacid foods of low salt content . 2 ."
cl22_0," In good time I shall get to the distressing actuality , to Red McIver and Handley Walker , to murder and sudden death . But you realize , I am sure , how much old deeds incite to new ones , and you must forgive me if I tell you first of the old ones ."
cn10_5," She wondered what had taken place in town , between him and his wife . She wished that she could talk to her mother about it . Not that her mother knew what had happened , but they could speculate upon it . But her mother would rebuke her if she mentioned it , and say that it was none of her concern ."
cn10_9," At the moment , the three men were not saying much of anything . They were sitting on their heels , rider-fashion , over by the still empty calf wagon . Brannon was hunkered down with his broad back to the left rear wheel , with the other two facing him . He held a cigarette in his right hand . It was burning away , forgotten . His face was clouded with unhappiness ."
cf13_1," Livestock must be tended every day , routinely . A slight change in the work schedule may cut the production of cows or chickens ."
cf13_31, Discussed below are some of the main things to look for when you select a part-time farm . Location nearness to work . -- Choose a location within easy commuting distance of both the regular job and other employment opportunities . Then if you change jobs you won't necessarily have to sell the farm . The presence of alternative job opportunities also will make the place easier to sell if that should become desirable .
cd17_2," When you read me , you are holding in your hands the product of many minds and hearts . Some of the people who speak through my pages are famous ; ; others unknown . Some work with their hands . Some have walked through pain and sorrow to bring you their message of hope . Some are so filled with gratitude , for the gift of life and the love of God , that their joy spills out on the paper and brightens the lives of thousands whom they have never known , and will never see ."
cd17_24," Each meeting starts with a prayer , offered spontaneously by one member of the group . It takes many forms , this prayer , but in essence it is always a request for guidance , for open minds and gentle hearts , for honesty and sincerity , for the wisdom and the insights that will help Guideposts' readers ."
cd17_31," When it was my turn , I , too , printed the truth as I knew it about Batista , and rejoiced to see his regime topple . None of us was aware that the biggest fight was still ahead ."
cj45_14," The questionnaire provided a place for the name of the respondent but stated that identification of the respondent was optional . The questionnaire also stated that , in any event , all replies would be treated confidentially . It is interesting to note that 75 per cent of those who returned the questionnaire identified themselves ."
cj45_33," The first step in processing was to analyze the returns from Questions 1 , 2 , and 3 to determine whether the respondents were large businesses or small businesses , in accordance with the definitions contained in ASPR Section 1-701 . ( see Chapter 2 . ) The results are shown in Table 3 ."
cl13_22," He tried to ignore what his own common sense told him , but it wasn't possible ; ; her motives were too blatant . She wanted him to get into trouble . She wanted the police to notice him , suspect him . She was going to keep on scheming , poking , prodding , suggesting , and dictating until the cops got up enough interest in him to go back to their old neighborhood and ask questions . And he knew in that moment , with a cold sinking of despair , a dying of old hopes , that Mae had spread some kind of word there among the neighbors . Nothing bald , open ; ; but enough . They'd have some suspicions to repeat to the police ."
cl13_35," It wasn't what Mae would want him to do , though . He was sure of this . Once he had abandoned himself to the very worst , once he had quieted all the dragons of worry and suspense , there wouldn't be very much for Mae to do . At that moment , Holden almost slammed on the brakes to go back to Cooper and ask if Ferguson was about ."
cf41_3," Start on the Via D. Teatro Di Marcello at the foot of the Capitoline Hill . The majestic circular tiers of stone of the Theatre of Marcellus give you some idea of the huge edifice that the Emperor Augustus erected in 13 B.C. . Twenty-two thousand spectators used to crowd it in Roman days . Andrea Palladio , an Italian architect of the sixteenth century , modeled his designs on its Doric and Ionic columns ."
cf41_12," At this point you cross the wide Corso Vittorio Emanuele 2 , , walk along the Corso Del Rinascimento a couple of hundred yards , then turn left on the Via Dei Canestrani to enter the splendid Piazza Navona , one of the truly glorious sights in Rome ."
cf41_14," The site of the oblong piazza is Domitian's ancient stadium , which was probably used for horse and chariot races . For centuries it was the location of historic festivals and open-air sports events . From the seventeenth to the nineteenth century it was a popular practice to flood the piazza in the summer , and the aristocrats would then ride around the inundated square in their carriages ."
cf41_17," Take the Via Di S. Agnese in Agone , next to the church and opposite the center of the square , then turn right after about two hundred yards to reach the beautiful Church of Santa Maria Della Pace . Inside you will find the lovely Sibyls painted by Raphael and a chapel designed by Michelangelo . The church's cloisters are among Donato Bramante's most beautiful creations ."
cf41_23," If you have taken this stroll in the morning , and you have the time and inclination , walk to the right along the crowded Corso for half a dozen blocks to visit the fine private collection of paintings -- mainly of the sixteenth and seventeenth centuries -- in the Palazzo Doria ( open Sunday , Tuesday , and Thursday , 10:00 to 1:00 ) . Here is your opportunity to see the inside of a palazzo where the family still lives ."
ch14_8," For each State ( except Puerto Rico , Guam , the Virgin Islands , and , prior to 1962 , Alaska and Hawaii ) determine average per capita income based on the last three years . ( See Source of Data , below for per capita income data to be used in this step . ) 2 ."
ch14_21," Determine if the particular State's unadjusted allotment ( result obtained in item 11 above ) is less than its minimum ( base ) allotment , and if so raise its unadjusted allotment to its minimum allotment . Regardless of its unadjusted allotment , each State is guaranteed by law a minimum allotment each year equal to the allotment which it received in fiscal year 1954 -- increased by a uniform percentage of 5.4865771 which brings total 1954 allotments to all States up to $23,000,000 . 14 ."
ch14_22," The funds recouped by reductions in item 12 above are used : first , to increase the unadjusted allotments to the specified minimum in those States where the unadjusted allotment is less than the minimum allotment ( item 13 above ) ; ; and second , to increase uniformly the allotments to those States whose allotments are below their maximums , with adjustments to prevent the allotment of any State from thereby exceeding its maximum . Additional note on allotments ."
cj26_1," The regulations require the inscription of each individual ( male or female , adult or child ) on a separate card ( fiche ) . The cards , filed by circonscription ( sub-chiefdom , or village ) , are kept in the headquarters of each territoire ( chiefdom ) . Each card is expected to show certain information about the individual concerned , including his or her date of birth ( or age at a specified time ) , spouses , and children . Additional entries must be made from time to time . Different cards are used for males and females , and a corner is clipped from the cards of adults , and of children when they reach puberty . So a quick count could be made at any time , even by an illiterate clerk , of the number of registered persons in four age-and-sex classes . Personal identification cards are issued to all adult males on which tax payments , inoculations , periods of employment , and changes of residence are recorded . Similar identification cards were issued in 1959 to all adult females . Each adult is held personally responsible for assuring his inscription and obtaining an identification card which must be shown on demand . The registration card of a person leaving his home territory for a short period is put into a special file for absent persons . The cards of permanent out-migrants are , in theory , sent to an office in the place of new residence . Finally , the registration of births and deaths by nearest relatives was made compulsory in most regions ."
cj26_16," The first sampling census in the Congo extended over a three-year period , 1955 - 57 ; ; the results were still being processed in 1959 . It is planned to double the number of teams and to make use of improved equipment in a second demographic inquiry in 1960 , so that the inquiry can be carried through in one year and the results published more expeditiously . It is proposed that in the future complete sampling censuses be carried out at five-year intervals ."
cf46_14," During this dark chapter in State Department history , men who had offered foreign-policy ideas later proven wrong by events filled the tumbrels sent up to Capitol Hill . Their old errors of judgment were equated , in the curious logic of the time , with present treasonous intent . Their successors , absorbing the lesson , made it a point to have few ideas ."
cf46_20," Each has its peculiar style . The Soviet Embassy is popularly regarded as Russian espionage headquarters . When Ambassador Mikhail Menshikov took it over in 1957 from Georgi Zaroubin , he made a determined effort to change this idea . Menshikov hit Washington with a TV announcer's grin and a hearty handclasp . To everyone's astonishment he seemed no more like the run-of-the-mine Russian ambassador than George Babbitt was like Fyodor Pavlovitch Karamazov ."
ch13_13," In the light of the facts at hand , however , New York Central intends to pursue the objective of helping to create a healthy two-system eastern railroad structure in the public interest '' ."
ch13_43," Plenty , say the experts . In a broad sense , it would reaffirm the Monroe Doctrine by opposing Communist interference in the Western Hemisphere . It could , by avoiding direct intervention , provide a short-of-war strategy to meet short-of-war infiltration ."
cb14_14," Since the obvious is not always true , the Republican National Committee wisely analyzed its defeat of last autumn and finds that it occurred , as suspected , in the larger cities ."
cb14_20," Errors repeated The present Republican leadership as practiced by Mundt , Goldwater , Bridges , Dirksen , et al , is repeating the errors of the party leadership of the 1930s . In that decade the partisan zeal to defend Mr. Hoover , and the party's failure to anticipate or cope with the depression , caused a great majority of Americans to see the Republican party as cold and lacking in any sympathy for the problems of human beings caught up in the distress and suffering brought on by the economic crash ."
cb13_38, What can a mother do then to prevent misbehavior ? ? She can decrease the number of temptations . She can remove all knick-knacks within reach . The fewer nos she has to utter the more effective they will be .
cb13_39," She should offer substitutes for the temptations which seem overwhelmingly desirable to the child . If he can't play with Mommy's magazines , he should have some old numbers of his own . If Daddy's books are out of bounds his own picture books are not . Toys he has can be made to act as substitutes for family temptations such as refrigerator and gas stove ."
ch22_22," With respect to Article 2 , , Paragraph 1 ( A ) of the Agreement : ( 1 ) The Government of India will provide facilities for the conversions of the rupee equivalent of $4 million ( up to a maximum of $1 million per year ) accruing under the subject agreement for agricultural market development purposes into currencies other than United States dollars on request of the Government of the United States of America . This facility is needed for the purpose of securing funds to finance agricultural market development activities of the Government of the United States in other countries ."
ch22_23," The Government of the United States of America may utilize rupees in India to pay for goods and services , including international transportation needed in connection with market development and other agricultural projects and activities in India and other countries . ( 2 ) The rupee equivalent of $63.8 million , but not more than 5 percent of the currencies received under the Agreement will be used for loans to be made by the Export-Import Bank of Washington under Section 104 ( E ) of the Agricultural Trade Development and Assistance Act , as amended ( hereinafter referred to as the Act ) , and for administrative expenses of the Export-Import Bank of Washington in India incident thereto . It is understood that : ( A ) Such loans under Section 104 ( E ) of the Act will be made to United States business firms and branches , subsidiaries , or affiliates of such firms in India for business development and trade expansion in India and to United States firms and to Indian firms for the establishment of facilities for aiding in the utilization , distribution , or otherwise increasing the consumption of and markets for United States agricultural products . In the event the rupees set aside for loans under Section 104 ( E ) of the Act are not advanced within six years from the date of this Agreement because the Export-Import Bank of Washington has not approved loans or because proposed loans have not been mutually agreeable to the Export-Import Bank of Washington and the Department of Economic Affairs of the Government of India , the Government of the United States of America may use the rupees for any purpose authorized by Section 104 of the Act . ( B ) Loans will be mutually agreeable to the Export-Import Bank of Washington and the Government of India acting through the Department of Economic Affairs of the Ministry of Finance . The Secretary , Department of Economic Affairs , or his designate , will act for the Government of India , and the President of the Export-Import Bank of Washington , or his designate , will act for the Export-Import Bank of Washington . ( C ) Upon receipt of an application which the Export-Import Bank is prepared to consider , the Export-Import Bank will inform the Department of Economic Affairs of the identity of the applicant , the nature of the proposed business , the amount of the proposed loan , and the general purposes for which the loan proceeds would be expended . ( D ) When the Export-Import Bank is prepared to act favorably upon an application , it will so notify the Department of Economic Affairs and will indicate the interest rate and the repayment period which would be used under the proposed loan . The interest rate will be similar to those prevailing in India on comparable loans and the maturities will be consistent with the purposes of the financing . ( E ) Within sixty days after the receipt of notice that the Export-Import Bank is prepared to act favorably upon an application the Department of Economic Affairs will indicate to the Export-Import Bank whether or not the Department of Economic Affairs has any objection to the proposed loan . Unless within the sixty-day period the Export-Import Bank has received such a communication from the Department of Economic Affairs it shall be understood that the Department of Economic Affairs has no objection to the proposed loan . When the Export-Import Bank approves or declines the proposed loan , it will notify the Department of Economic Affairs . 2 ."
cl12_43," They did ; ; though contemptuous , they were still polite . But when he was finally through , their scorn was made apparent . Someone clapped tentatively then quickly stopped . Otherwise , the silence was complete . As the lights came up , Andy could see that a number of patrons were already on their way toward the exit ."
cl12_51, He clutched that knowledge to him as he returned to his dressing room . The usual congratulatory crowd was conspicuously absent ; ; the place had the air of a morgue . Andy had no desire to linger himself but Hub reported that the mob outside was still large despite the efforts of the police to disperse them .
cn20_1," For three days , their stolid oxen had plodded up a blazing valley as flat and featureless as a dead sea . Molten glare singed their eyelids an angry crimson ; ; suffocating air sapped their strength and strained their nerves to snapping ; ; dust choked their throats and lay like acid in their lungs . And the valley stretched endlessly out ahead , scorched and baked and writhing in its heat , until it vanished into the throbbing wall of fiery orange brown haze ."
cf23_17," Six years ago French Indochina , though in troubie , was in the Western camp . Today Northern Vietnam is overtly Communist ; ; Laos is teetering between Communism and pro-Communist neutralism ; ; Cambodia is , for all practical purposes , neutralist ."
cl15_17," He disliked Garth on sight , conservative clothes and haircut , smile a shade too earnestly boyish for a man who must be well into his thirties , handclasp too consciously quick and firm . Youngish man on the make , Madden labeled him , and was ready to guess that in a correct , not too pushing fashion , the junior partner of the firm had political ambitions ; ; that Mrs. Garth would be impeccably suitable as the wife of a rising young lawyer ; ; that there were three children , two boys and a girl ; ; that she was active in the Woman's Club and he in Lions , Rotary , and Jaycee ; ; and finally , that neither of them had harbored an unorthodox opinion since their wedding day ."
cd16_43," You can do likewise though Christ is not bodily present . You can ignore Him . You can ignore His Book , the Bible , and His church . You can laugh at His blood-bought salvation , curse His followers , and laugh at hell . It is permitted . The eternal Christ may knock at your soul's door , calling you to give up sin and prepare for heaven . You may refuse Him , spit on Him , call Him a devil , curse Him . It is permitted . You may take His name upon your lips in oaths and curses if you so choose . He is in your hands -- now ."
cf24_20," Prime minister moves fast Alas , so it almost proved for us , too . To go outside the few cities required permits . And getting them seemed a life's work . Nobody wanted Americans to be hurt or captured , and few soldiers could be spared as escorts ."
cf24_25," In Keng Kok , the City of Silkworms , the Prime Minister bought fried chickens and fried cicadas , and two notebooks for me . Then we drove on , until there was no more road and we traversed dry rice fields , bouncing across their squat earth walls ."
cn18_7," That she impressed me instantly was obvious ; ; I was aware that when our eyes met we both quickly averted them . I thought I saw a faint surge of color rise to her neck and quickly suffuse her cheeks . True , she was my Aunt , married to an Uncle related to me only by marriage , but why she had married a man twice her age , and more , perhaps , I did not know or much care ."
cn11_7," He never got that chance . For the unseen , ghostlike rifleman aimed a little higher the third time . A bullet smashed directly into the center of William Lewis' chest . He slumped against a log fence rail , then tried to lift himself . Two more shots followed in quick succession , dropping him limp and huddled on the ground ."
cl23_24," After a while he began to feel better about it , especially when no one bothered to ask any questions . But after all , why should they ? ? Still later , he finally convinced himself that it was an accident -- just a coincidence . The stranger really had nothing to do with it , of course"
cl24_31," We met at Maxine's and decided we were set to stay as long as it took , into or even through the evening , to talk things out . Charlie had brought food and we'd decided on no drinks . I'd brought along the virgin pint from last night , but we were going to kill that only when we were through talking ."
cf15_2," A year later in Albany , N.Y. , a Roman Catholic hospital barred an orthopedic surgeon because of his connection with the Planned Parenthood Association . Immediately , the religious groups of the city were embroiled in an angry dispute over the alleged invasion of a man's right to freedom of religious belief and conscience ."
cf15_10," Catholics , Protestants and Jews are in agreement over the objectives of family planning , but disagree over the methods to be used . The Roman Catholic Church sanctions only abstention or the rhythm method , also known as the use of the infertile or safe period . The Church considers this to be the method provided by nature and its divine Author : It involves no frustration of nature's laws , but simply an intelligent and disciplined use of them . With the exception of the Roman Catholic and the Orthodox Catholic Churches , most churches make no moral distinction between rhythm and mechanical or chemical contraceptives , allowing the couple free choice ."
cf15_15," It is always a temptation for a religious organization , especially a powerful or dominant one , to impose through the clenched fist of the law its creedal viewpoint upon others . Both Roman Catholics and Protestants have succumbed to this temptation in the past ."
ch03_26," Others may speak of Speaker Rayburn's uniquely long and devoted service ; ; of his championship of many of the progressive social measures which adorn our statute books today , and of his cooperation in times of adversity with Presidents of both of our major parties in helping to pilot the Ship of State through the shoals of today's stormy international seas ."
cj07_7," There have been contradictory reports from 1958 Delta 2 , and the data quoted here are believed to be the more reliable . On May 15 , a very large increase occurred with Af of mass between Af and Af ; ; for the next two days , the impact rate was Af ; ; and for the next nine days , the impact rate was less than Af ( Nazarova , 1960 ) . The data for the first day indicate a meteor stream with a very high concentration of particles and may have led to the high estimates of micrometeorite flux ."
cj38_7," There is little doubt that the students benefit from vocational education . Employers prefer to hire youth with such training rather than those without , and most graduates of vocational training go to work in jobs related to their training . Vocational educators do not claim that school training alone makes skilled workers , but it provides the essential groundwork for developing skills ."
cj38_10," The Title 8 , program of the National Defense Education Act of 1958 was a great spur to this trend toward area schools . By 1960 there were such schools in all but 4 states . They were operating in 10 of the 17 major areas of chronic labor surplus and in 10 of the minor areas . An extension of this program into the other distressed areas should be undertaken . Relation to new industry Some of this trend toward area vocational schools has been related to the problems of persistent labor surplus areas and their desire to attract new industry ."
cl02_32," By this time it was dark . I could get up close to him where there was traffic but had to drop far behind when there wasn't traffic . My lights would have been a giveaway if I'd tried to shadow him in the conventional manner . Moreover , I'd have lost him if it hadn't been for the electronic shadowing device . His signal was coming loud and clear and then all of a sudden it turned to a buzz . I circled the block and found he was in the parking lot of a high-class restaurant ."
cl02_35, It was a fairly modern motel with quite a bit of electrical display in front . I remembered it was the Peeping Tom place .
cj54_1," To speak of this underlying view of the world is to embark upon matters of subjective judgment . At the least , however , one may conclude that Geometric potters sensed a logical order ; ; their principles of composition stand very close to those which appear in the Homeric epics and the hexameter line . Their world , again , was a still simple , traditional age which was only slowly beginning to appreciate the complexity of life . And perhaps an observer of the vases will not go too far in deducing that the outlook of their makers and users was basically stable and secure . The storms of the past had died away , and the great upheaval which was to mark the following century had not yet begun to disturb men's minds ."
cj54_3, . The general intellectual outlook which had appeared in the eleventh century was now consolidated to a significant degree . Much which was in embryo in 1000 had become reasonably well developed by 800 . In this process the Minoan-Mycenaean inheritance had been transmuted or finally rejected ; ; the Aegean world which had existed before 1000 differed from that which rises more clearly in our vision after 800 . Those modern scholars who urge that we must keep in mind the fundamental continuity of Aegean development from earliest times -- granted occasional irruptions of peoples and ideas from outside -- are correct ; ; but all too many observers have been misled by this fact into minimizing the degree of change which took place in the early first millennium .
cj54_6," Further we cannot go , for the Dark ages deserve their name . Many aspects of civilization were not yet sufficiently crystallized to find expression , nor could the simple economic and social foundations of this world support a lofty structure . The epic poems , the consolidation of the Greek pantheon , the rise of firm political units , the self-awareness which could permit painted and sculptured representations of men -- all these had to await the progress of following decades . What we have seen in this chapter , we have seen only dimly , and yet the results , however general , are worth the search . These are the centuries in which the inhabitants of the Aegean world settled firmly into their minds and into their institutions the foundations of the Hellenic outlook , independent of outside forces ."
cj54_10," The modern student , who knows what was to come next , is likely to place first the factors of change which are visible in the eighth century . Not all men of the period would have accepted this emphasis . Many potters clung to the past the more determinedly as they were confronted with radically new ideas ; ; the poet of the Iliad deliberately archaized . Although it is not possible to sunder old and new in this era , I shall consider in the present chapter primarily the first decades of the eighth century and shall interpret them as an apogee of the first stage of Greek civilization ."
cj54_11," On this principle of division I must postpone the evolution of sculpture , architecture , society , and politics ; ; for the developments in these areas make sense only if they are connected to the age of revolution itself . The growing contacts between Aegean and Orient are also a phase which should be linked primarily to the remarkable broadening of Hellenic culture after 750 . We shall not be able entirely to pass over these connections to the East as we consider Ripe Geometric pottery , the epic and the myth , and the religious evolution of early Greece ; ; the important point , however , is that these magnificent achievements , unlike those of later decades , were only incidentally influenced by Oriental models . The antecedents of Dipylon vases and of the Iliad lie in the Aegean past . Dipylon pottery the pottery of the first half of the eighth century is commonly called Ripe Geometric . The severe yet harmonious vases of the previous fifty years , the Strong Geometric style of the late ninth century , display as firm a mastery of the principles underlying Geometric pottery ; ; but artists now were ready to refine and elaborate their inheritance . The vases which resulted had different shapes , far more complex decoration , and a larger sense of style ."
cf34_21," The seeds of hard , fibrous , stony fruits , called nuts , provide highly concentrated foods , oils , and other materials of value . Most nuts consist of the richly packaged storage kernel and its thick , adherent , brown covering -- the seedcoat ."
cf34_26," A forest crop that has not been extensively cultivated is ivory nuts from the tagua palm . The so-called vegetable ivory is the hard endosperm of the egg-sized seed . It is used for making buttons and other small , hard objects of turnery . Seeds of the sago palm are used in Bermuda to make heads and faces of dolls sold to tourists ."
cf34_38," Cocoa , chocolate , and cocoa butter come from the ground seeds of the cacao tree . World production of about 1 million tons is divided primarily between Africa ( 63 percent ) and South America ( 27 percent ) ."
cn08_14," The forest took on an impersonal aspect . It did not care what sort of person prowled its woods , plucked at its bark or stripped the berries from its bushes . Unconcerned , indifferent , unmotivated , the forest was simply there -- fighting man's depredations with more abundant growth and man's follies with its own musical evening laughter . Red man or white man , pacifist or killer , the forest would accept them all -- knowing that it could thrive equally well on slaughter and beneficence ; ; knowing that its ageless mass would always dwarf the short span of time allotted to any man ."
cn08_29, Pamela groped blindly . She had to escape . She had to move in some direction -- any direction that would take her away from this evil place .
cd06_2," Doubts thus inculcated left me floundering for a while and , like some higher critical friends , trying to continue to use the Bible as the Word of God while at the same time holding it to have been subjected to a vast number of redactions and interpolations : attempting to bridge the chasm between an older , reverent , Bible-loving generation and a critical , doubting , Bible-emancipated race . Although still aware of a great light and glow of warmth in the Book , I stood outside shivering in the cold ."
cl05_40," The big , paunchy man named Geely was on that side , half-turned in the seat toward his hatchet-faced companion so that his back partially rested against the closed door ."
cn01_0," Dan Morgan told himself he would forget Ann Turner . He was well rid of her . He certainly didn't want a wife who was fickle as Ann . If he had married her , he'd have been asking for trouble ."
cn01_28," He was silent a moment , thinking he could use a man this time of year , and if the girl could cook , it would give him more time in the meadows , but he knew nothing about the couple . They might kill him in his sleep , thinking there was money in the house . He dismissed the possibility at once . The girl's thin face haunted him . It wasn't the face of a killer . He wasn't so sure about the boy . He hadn't shaved for several weeks , his sparse beard giving his face a pathetic , woebegone expression ."
cj62_3," It cannot be said that our very first day in the Soviet Union turned out to be an ordinary one . On that cold , but bright , April day we were guests of your government in the reviewing stand of Red Square to witness the poeple's celebration for Yuri Gagarin and later on that day we attended the somewhat more exclusive reception for him in one of the impressive palaces of the Kremlin . If we thus spent our very first day in the midst of a large number of your people honoring a new hero and a great national achievement , our last day , to us at least , was equally impressive and very moving , even though the crowds were absent and there was almost complete silence . We stood under a gigantic tree in the rolling country just outside of Moscow looking at silent flowers on the grave of a Russian poet and writer who cherished the love for his country to the point of foregoing the highest international honor . The grave , about half-way between his home and the blue turrets of a small church , rose above the forms and spaces of gently undisciplined pastures of green , the sounds of birds , the silence of other graves and the casual paths through small forests . Just yesterday we had met and talked with a living writer , a contemporary of the dead poet , who is known for his ability of manipulating his ideas and his craft more advantageously . But today we were aware of only two men . One had taken a flight into uncharted space , in the service of science , to return as a living hero . The other had assumed the right to explore the equally uncharted space of the human spirit . The flowers on his grave attested to the fact that he as well was somebody's hero ."
